Term,Course Level,Course,UNIQUE ID,Course Units,Enrollment,Total Letter Grades,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
Spring 2023,Lower Division,CHEM 101D,2226347117,1,23,23,7,2,1,2,4,2,1,1,0,0,0,3
Spring 2023,Lower Division,CHEM 102L,3532751710,1,23,23,12,2,2,3,0,1,1,0,0,1,0,1
Spring 2023,Lower Division,CHEM 102L,4068462672,1,23,23,6,7,5,1,1,1,0,1,0,0,0,1
Spring 2023,Lower Division,PHYS 100BL,3581266237,1,23,23,1,13,3,0,5,0,0,1,0,0,0,0
Spring 2023,Lower Division,CJS 280,3342639263,3,23,23,1,2,1,3,1,2,4,4,2,1,0,2
Spring 2023,Upper Division,CJS 380L,1928887512,1,23,23,15,0,0,6,0,0,1,0,0,0,0,1
Spring 2023,Upper Division,CJS 380L,1928887512,1,23,23,19,0,0,1,0,0,2,0,0,0,0,1
Spring 2023,Upper Division,CJS 380L,1928887512,1,23,23,22,0,0,1,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,CJS 380L,1895664600,1,23,23,19,0,1,2,0,0,1,0,0,0,0,0
Spring 2023,Upper Division,CJS 380L,1895664600,1,23,23,13,0,3,1,0,1,1,0,0,0,0,4
Spring 2023,Upper Division,CJS 444,85830273,3,23,23,4,5,1,2,3,1,2,1,1,1,1,1
Spring 2023,Upper Division,PSY 320,1050593475,3,23,23,13,3,3,3,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,PSY 320L,59870786,1,23,23,9,3,1,1,3,1,3,2,0,0,0,0
Spring 2023,Upper Division,PSY 320L,1050593475,1,23,23,13,3,3,3,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,PSY 321L,2908811699,1,23,23,11,2,0,3,4,0,1,0,0,0,0,2
Spring 2023,Upper Division,PSY 321L,2098877629,1,23,23,10,3,3,2,3,1,1,0,0,0,0,0
Spring 2023,Upper Division,PSY 321L,1773611203,1,23,23,13,3,2,1,0,2,2,0,0,0,0,0
Spring 2023,Upper Division,PSY 321L,3469661718,1,23,23,8,7,2,0,2,1,1,0,0,1,0,1
Spring 2023,Upper Division,SOC 424L,2047096328,1,23,23,11,3,2,2,3,1,0,0,0,0,0,1
Spring 2023,Upper Division,SOC 424L,2047096328,1,23,23,3,5,5,1,3,2,1,1,0,1,0,1
Spring 2023,Upper Division,SOC 497L,2047096328,1,23,23,15,0,2,2,1,1,1,0,0,0,1,0
Summer 2023,Graduate,GBUS 690B,359095345,3,23,23,10,7,6,0,0,0,0,0,0,0,0,0
Summer 2023,Graduate,EPC 601,781225603,3,23,23,21,0,1,1,0,0,0,0,0,0,0,0
Summer 2023,Graduate,EPC 674SP,2055128884,3,23,23,14,8,1,0,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,CM 401,1514008834,3,23,23,13,8,0,0,2,0,0,0,0,0,0,0
Summer 2023,Upper Division,COMP 380L,3253974711,1,23,23,4,2,3,6,3,3,2,0,0,0,0,0
Summer 2023,Upper Division,HSCI 434,3288957343,3,23,23,4,9,2,2,2,1,1,1,1,0,0,0
Summer 2023,Upper Division,HSCI 488,168557016,3,23,23,13,5,2,2,1,0,0,0,0,0,0,0
Summer 2023,Upper Division,KIN 305,460723684,4,23,23,4,3,5,2,5,1,1,0,0,0,0,2
Summer 2023,Upper Division,KIN 446,2955168117,2,23,23,2,0,0,3,4,5,2,3,2,2,0,0
Summer 2023,Upper Division,KIN 446L,2955168117,1,23,23,6,0,0,7,0,0,6,0,0,4,0,0
Summer 2023,Upper Division,NURS 307,3300190610,2,23,23,2,8,1,7,2,1,2,0,0,0,0,0
Summer 2023,Lower Division,RTM 278,3983471083,3,23,23,7,0,0,8,0,0,2,0,0,2,0,4
Summer 2023,Lower Division,PHYS 220BL,2886089154,1,23,23,3,1,7,4,3,0,4,1,0,0,0,0
Summer 2023,Graduate,DCDL 610,3656209624,3,23,23,6,4,3,1,2,3,1,0,0,0,0,3
Winter 2023,Upper Division,ART 315,3041145189,3,23,23,7,6,3,2,3,0,1,0,0,1,0,0
Winter 2023,Upper Division,KIN 300,2312106708,3,23,23,13,2,5,2,0,0,0,1,0,0,0,0
Winter 2023,Upper Division,AAS 347,1080402097,3,23,23,22,0,1,0,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,ART 227,2600507117,3,24,23,14,1,1,4,0,0,3,0,0,0,0,0
Spring 2023,Upper Division,ART 354,4198458970,3,24,23,19,1,1,0,0,0,1,0,0,0,0,1
Spring 2023,Upper Division,ART 429,920502456,3,24,23,12,7,0,2,1,0,0,0,0,0,0,1
Spring 2023,Upper Division,CTVA 331,170664533,3,24,23,8,8,2,1,1,0,1,0,1,0,0,1
Spring 2023,Upper Division,COMS 430,3598628070,3,24,23,6,4,3,3,0,3,1,1,0,1,1,0
Spring 2023,Upper Division,MUS 397L,3834737788,1,24,23,3,0,5,2,2,5,4,1,0,0,0,1
Spring 2023,Upper Division,MUS 397R,3834737788,2,24,23,3,0,5,2,2,5,4,1,0,0,0,1
Spring 2023,Graduate,ACCT 629,192965764,3,24,23,5,3,2,5,6,2,0,0,0,0,0,0
Spring 2023,Upper Division,ECON 312,1427426800,3,24,23,3,5,3,5,0,2,2,1,0,0,0,2
Spring 2023,Lower Division,DEAF 160,2553981291,4,24,23,9,3,1,4,3,1,1,0,0,0,1,0
Spring 2023,Upper Division,EPC 314,1983033221,3,24,23,15,3,1,1,1,0,1,1,0,0,0,0
Spring 2023,Graduate,E ED 577,1244567488,3,24,23,15,4,0,2,2,0,0,0,0,0,0,0
Spring 2023,Graduate,SPED 532,1214343685,3,24,23,13,5,2,2,0,0,0,0,0,1,0,0
Spring 2023,Lower Division,CM 210,1906149009,2,24,23,3,7,0,6,5,0,1,1,0,0,0,0
Spring 2023,Lower Division,CM 210L,1906149009,1,24,23,20,1,0,2,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,COMP 110,3887351479,3,24,23,6,0,0,6,0,0,8,0,0,1,0,2
Spring 2023,Lower Division,COMP 110L,3887351479,1,24,23,10,0,0,5,0,0,5,0,0,1,0,2
Spring 2023,Lower Division,COMP 282,3227838472,3,24,23,8,1,0,4,0,1,3,1,0,1,1,3
Spring 2023,Graduate,COMP 522,4153955719,3,24,23,13,4,2,2,0,0,2,0,0,0,0,0
Spring 2023,Lower Division,M E 101,2421228385,1,24,23,9,3,4,4,3,0,0,0,0,0,0,0
Spring 2023,Lower Division,M E 101L,2421228385,1,24,23,20,0,3,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,CADV 381,366866873,3,24,23,16,3,3,0,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,CADV 381L,366866873,1,24,23,16,3,3,0,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,CADV 460,2363445755,3,24,23,21,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,CD 446,4141292467,3,24,23,23,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,CD 469A,3641665147,3,24,23,21,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CD 567,2131228284,2,24,23,13,0,0,10,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,FCS 431,2568214739,3,24,23,6,0,0,4,0,0,7,0,0,4,0,2
Spring 2023,Upper Division,FCS 431L,310728279,1,24,23,17,0,0,2,0,0,4,0,0,0,0,0
Spring 2023,Upper Division,HSCI 414,2326536330,3,24,23,2,5,11,2,0,2,0,0,0,0,0,1
Spring 2023,Lower Division,KIN 118,3460699168,1,24,23,14,3,0,1,0,0,0,0,0,0,0,5
Spring 2023,Upper Division,CAS 309,2474062448,3,24,23,4,7,4,2,3,0,2,0,0,0,0,1
Spring 2023,Lower Division,ENGL 115,2068281276,3,24,23,7,5,0,2,0,0,1,0,0,0,0,8
Spring 2023,Lower Division,PHIL 202,1003057207,3,24,23,5,3,2,4,4,4,1,0,0,0,0,0
Spring 2023,Lower Division,BIOL 101L,1084168513,1,24,23,13,0,0,9,0,0,0,0,0,0,0,1
Spring 2023,Lower Division,BIOL 101L,1084168513,1,24,23,5,0,0,11,0,0,4,0,0,0,0,3
Spring 2023,Lower Division,BIOL 101L,2965733237,1,24,23,9,1,5,4,2,2,0,0,0,0,0,0
Spring 2023,Lower Division,BIOL 106L,2004865401,1,24,23,1,2,1,3,2,3,7,1,0,1,0,2
Spring 2023,Lower Division,BIOL 107L,1318074876,1,24,23,3,2,3,2,2,1,4,1,2,2,1,0
Spring 2023,Lower Division,BIOL 107L,3960718836,1,24,23,2,1,0,5,5,0,6,2,1,0,0,1
Spring 2023,Lower Division,BIOL 212,1878014275,1,24,23,2,1,2,4,1,6,1,0,1,0,1,4
Spring 2023,Upper Division,BIOL 381,452015461,1,24,23,1,2,0,2,6,3,1,2,0,2,0,4
Spring 2023,Upper Division,BIOL 452,923758346,2,24,23,6,6,4,3,3,0,1,0,0,0,0,0
Spring 2023,Upper Division,BIOL 452L,923758346,2,24,23,13,8,1,1,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,CHEM 101L,2805347188,1,24,23,1,2,2,2,2,2,4,3,0,3,0,2
Spring 2023,Lower Division,CHEM 101L,4081363779,1,24,23,4,0,2,5,2,2,4,0,2,0,0,2
Spring 2023,Lower Division,CHEM 101L,3261124830,1,24,23,7,1,1,2,4,1,3,1,0,0,1,2
Spring 2023,Lower Division,CHEM 101L,3261124830,1,24,23,6,3,0,2,5,3,2,1,1,0,0,0
Spring 2023,Lower Division,CHEM 101L,3112421675,1,24,23,7,3,1,5,2,1,0,2,0,0,0,2
Spring 2023,Lower Division,CHEM 101L,3111188857,1,24,23,1,1,0,0,2,1,3,3,0,3,0,9
Spring 2023,Lower Division,CHEM 101L,4247624534,1,24,23,3,4,2,2,4,3,1,3,0,0,0,1
Spring 2023,Lower Division,CHEM 102L,4068462672,1,24,23,5,4,1,6,2,2,2,0,0,0,0,1
Spring 2023,Lower Division,CHEM 103L,4068462672,1,24,23,2,0,5,3,2,5,3,1,1,0,0,1
Spring 2023,Lower Division,PHYS 220AL,3016665768,1,24,23,13,3,1,2,2,2,0,0,0,0,0,0
Spring 2023,Lower Division,PHYS 220AL,597248169,1,24,23,19,0,3,0,0,0,0,0,0,0,0,1
Spring 2023,Lower Division,PHYS 220AL,3016665768,1,24,23,11,6,1,1,0,2,2,0,0,0,0,0
Spring 2023,Upper Division,CJS 452MO,320648251,3,24,23,20,1,0,2,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,HIST 485C,1108529835,3,24,23,19,0,1,1,0,0,0,1,0,0,1,0
Spring 2023,Upper Division,PSY 320L,2075799225,1,24,23,11,0,1,3,2,3,1,2,0,0,0,0
Spring 2023,Upper Division,PSY 320L,2075799225,1,24,23,13,0,1,2,3,1,0,2,1,0,0,0
Spring 2023,Upper Division,PSY 320L,1574271143,1,24,23,4,4,3,2,3,2,3,1,0,0,0,1
Spring 2023,Upper Division,PSY 320L,1574271143,1,24,23,6,2,2,2,3,2,2,3,0,1,0,0
Spring 2023,Upper Division,PSY 320L,1574271143,1,24,23,6,3,2,5,4,0,1,1,0,0,0,1
Spring 2023,Upper Division,PSY 320L,3884327623,1,24,23,4,4,0,3,5,0,3,1,2,1,0,0
Spring 2023,Upper Division,PSY 321L,2908811699,1,24,23,6,2,3,6,1,1,1,3,0,0,0,0
Spring 2023,Upper Division,PSY 321L,2155769060,1,24,23,9,3,2,3,1,1,0,1,1,0,0,2
Spring 2023,Upper Division,PSY 321L,3469661718,1,24,23,7,3,4,2,2,4,0,0,0,0,0,1
Spring 2023,Upper Division,PSY 493SOC,2235575442,1,24,23,23,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,SOC 424L,4073123933,1,24,23,21,0,0,0,0,0,0,0,0,0,0,2
Spring 2023,Upper Division,SOC 497L,2047096328,1,24,23,19,1,0,0,0,1,0,2,0,0,0,0
Spring 2023,Graduate,HUMA 640,1083041919,3,24,23,17,1,3,2,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,EPC 314,3186127718,3,24,23,16,5,1,0,0,1,0,0,0,0,0,0
Summer 2023,Upper Division,HSCI 415,2639566079,3,24,23,15,0,0,5,1,0,1,1,0,0,0,0
Summer 2023,Upper Division,BIOL 360,3947953556,3,24,23,1,0,0,3,2,1,5,3,0,5,1,2
Summer 2023,Upper Division,CHEM 334,678473952,3,24,23,2,5,0,1,1,0,2,2,1,3,2,4
Spring 2023,Lower Division,CTVA 240,4072695395,3,25,23,19,1,1,2,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,COMS 151,3721716814,3,25,23,10,4,2,2,1,1,3,0,0,0,0,0
Spring 2023,Graduate,S ED 525EN,3739090325,3,25,23,21,0,0,2,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SPED 503MME,1737762553,3,25,23,14,5,3,1,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,CADV 460,558517202,3,25,23,14,3,1,0,1,1,0,1,1,1,0,0
Spring 2023,Lower Division,KIN 123A,780359837,1,25,23,20,0,0,3,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,KIN 137A,3002693197,1,25,23,13,2,5,0,0,0,0,0,2,1,0,0
Spring 2023,Lower Division,ENGL 115,3424723181,3,25,23,3,5,1,0,0,2,1,0,2,0,0,9
Spring 2023,Upper Division,GWS 370,2350503178,3,25,23,13,4,1,0,0,2,1,0,0,1,1,0
Spring 2023,Upper Division,QS 302,3916104781,3,25,23,13,2,4,2,0,0,2,0,0,0,0,0
Spring 2023,Lower Division,MATH 131,1566481912,3,25,23,9,3,1,5,1,1,0,2,1,0,0,0
Spring 2023,Lower Division,MATH 150A,3862769292,5,25,23,2,0,0,1,1,2,7,1,1,0,0,8
Spring 2023,Upper Division,HIST 456,515590242,3,25,23,5,3,7,2,1,2,1,0,1,1,0,0
Spring 2023,Upper Division,POLS 471F,1098831547,3,25,23,7,5,4,6,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,PSY 320L,3374784393,1,25,23,19,1,0,0,0,0,1,0,1,0,1,0
Summer 2023,Graduate,CD 668,2516325243,3,25,23,13,8,2,0,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,FCS 324,2078669078,3,25,23,13,1,1,5,0,2,0,0,0,0,0,1
Summer 2023,Upper Division,KIN 303,1822931009,3,25,23,3,4,5,3,0,0,1,1,1,1,0,4
Summer 2023,Lower Division,CJS 280,3086941175,3,25,23,15,0,1,3,0,2,2,0,0,0,0,0
Spring 2023,Upper Division,ART 301,2041250298,3,26,23,6,4,0,1,3,2,2,0,0,0,2,3
Spring 2023,Lower Division,COMS 151,723490623,3,26,23,13,2,4,0,0,0,3,0,0,0,1,0
Spring 2023,Lower Division,COMS 151,627259802,3,26,23,9,3,5,2,2,0,0,0,0,0,0,2
Spring 2023,Lower Division,TH 111,1484442911,3,26,23,8,1,1,2,0,4,0,1,0,1,4,1
Spring 2023,Lower Division,ENGL 115,4289868332,3,26,23,2,0,1,1,1,3,0,2,2,0,0,11
Spring 2023,Lower Division,ARMN 101,2349521248,3,26,23,9,4,1,2,2,2,2,0,0,1,0,0
Spring 2023,Lower Division,MATH 150A,3862769292,5,26,23,1,0,1,1,0,1,7,0,1,1,0,10
Spring 2023,Lower Division,MATH 150B,2274101659,5,26,23,2,1,1,0,3,3,6,0,0,1,0,6
Spring 2023,Lower Division,TH 222,4090703566,3,27,23,4,4,2,1,2,2,1,4,2,1,0,0
Spring 2023,Lower Division,KIN 149,1520211861,1,27,23,17,0,0,3,0,0,1,0,0,2,0,0
Spring 2023,Upper Division,PHIL 349,1003057207,3,27,23,7,3,1,5,2,4,1,0,0,0,0,0
Spring 2023,Lower Division,MATH 150A,705326577,5,27,23,4,3,1,1,1,2,3,0,0,3,0,5
Spring 2023,Lower Division,AFRS 151,1429492991,3,27,23,6,4,2,1,2,1,3,2,0,0,0,2
Spring 2023,Lower Division,COMP 182,2609284799,3,28,23,10,5,1,1,4,0,1,0,0,1,0,0
Spring 2023,Lower Division,COMP 182L,2609284799,1,28,23,10,5,1,1,4,0,1,0,0,1,0,0
Spring 2023,Lower Division,MATH 106,1345966447,5,28,23,7,1,1,0,0,4,4,0,0,3,0,3
Spring 2023,Lower Division,MATH 150A,2274101659,5,28,23,1,3,0,0,2,1,5,0,0,4,0,7
Spring 2023,Lower Division,ENGL 215,795184653,3,29,23,2,0,3,7,4,2,2,0,1,1,0,1
Spring 2023,Lower Division,MATH 141,282344450,3,29,23,9,0,4,5,0,2,1,1,0,1,0,0
Spring 2023,Lower Division,MATH 141,3554558755,3,30,23,6,2,1,1,2,2,6,0,1,0,1,1
Spring 2023,Upper Division,MATH 340,3040069757,3,31,23,5,2,4,2,0,2,4,0,0,2,0,2
Spring 2023,Upper Division,CJS 446,1148440143,3,31,23,4,9,2,1,3,1,0,0,0,0,0,3
Spring 2023,Lower Division,MATH 102,4194019364,3,32,23,3,3,1,2,3,2,3,0,0,0,0,6
Spring 2023,Upper Division,CH S 364,2476958700,3,33,23,7,8,1,3,0,2,0,0,0,1,1,0
Spring 2023,Lower Division,ART 235,2246563124,3,24,24,17,2,1,2,0,0,0,0,0,2,0,0
Spring 2023,Lower Division,ART 244,3687560252,3,24,24,4,3,5,4,2,0,1,3,0,0,0,2
Spring 2023,Upper Division,ART 309,2494665932,3,24,24,13,1,1,1,2,1,1,0,0,1,1,2
Spring 2023,Upper Division,ART 341,4198458970,3,24,24,14,3,1,3,0,1,0,0,0,0,0,2
Spring 2023,Upper Division,ART 429,2600507117,3,24,24,23,0,0,0,0,1,0,0,0,0,0,0
Spring 2023,Upper Division,ART 465,1794378706,3,24,24,23,0,1,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,ART 483,3177138102,1,24,24,12,4,2,2,1,1,1,0,0,0,1,0
Spring 2023,Upper Division,ART 483L,3177138102,2,24,24,10,3,1,8,0,1,0,0,0,0,1,0
Spring 2023,Lower Division,CTVA 240,2213605443,3,24,24,23,1,0,0,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,CTVA 260,3555365868,3,24,24,7,8,4,5,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,CTVA 340,1204527798,3,24,24,15,4,4,1,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,CTVA 421,2383534245,3,24,24,11,10,1,1,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,CTVA 453,454223232,3,24,24,24,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,COMS 151,1013607050,3,24,24,8,7,2,2,0,1,1,3,0,0,0,0
Spring 2023,Upper Division,COMS 321,4255957347,3,24,24,5,2,1,7,1,0,3,2,0,0,1,2
Spring 2023,Lower Division,MUS 221,3239826347,2,24,24,24,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,MUS 493C,3239826347,1,24,24,16,3,1,3,0,0,1,0,0,0,0,0
Spring 2023,Upper Division,TH 371,2935780379,2,24,24,8,9,4,0,2,0,1,0,0,0,0,0
Spring 2023,Upper Division,TH 371L,2935780379,1,24,24,8,9,4,0,2,0,1,0,0,0,0,0
Spring 2023,Upper Division,TH 381,748705744,2,24,24,4,2,4,4,2,3,4,1,0,0,0,0
Spring 2023,Graduate,ACCT 645,2451217384,3,24,24,13,9,1,0,0,0,0,0,0,0,0,1
Spring 2023,Graduate,BLAW 651,3239826347,3,24,24,7,5,5,7,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,FIN 431,1078668425,3,24,24,4,5,5,6,3,0,1,0,0,0,0,0
Spring 2023,Graduate,MGT 620,3779905385,3,24,24,1,7,6,6,1,2,1,0,0,0,0,0
Spring 2023,Graduate,MGT 693,652416169,3,24,24,2,4,8,10,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,DEAF 160,552482082,4,24,24,13,1,2,5,0,0,2,0,0,0,0,1
Spring 2023,Lower Division,DEAF 160,3713918750,4,24,24,16,3,2,0,0,0,0,0,0,1,0,2
Spring 2023,Upper Division,DEAF 350,3753106189,3,24,24,11,2,4,1,2,1,1,0,0,0,0,2
Spring 2023,Upper Division,DEAF 402,15853607,3,24,24,14,3,0,2,3,0,0,0,1,0,0,1
Spring 2023,Upper Division,ELPS 417,1106095133,3,24,24,18,5,1,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,EPC 314,3739244066,3,24,24,11,10,2,0,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,EPC 314,2436280077,3,24,24,15,5,2,0,0,1,0,0,0,0,0,1
Spring 2023,Upper Division,EPC 315,2436280077,3,24,24,13,3,0,1,1,0,1,3,0,0,0,2
Spring 2023,Upper Division,EPC 451,1115812356,3,24,24,15,7,0,1,0,0,1,0,0,0,0,0
Spring 2023,Graduate,E ED 575,2000674494,3,24,24,24,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,SPED 420,813818781,3,24,24,19,0,0,3,0,0,2,0,0,0,0,0
Spring 2023,Upper Division,SPED 420,1737762553,3,24,24,15,6,2,0,0,0,0,0,1,0,0,0
Spring 2023,Upper Division,SPED 420,860380813,3,24,24,14,7,0,1,1,0,1,0,0,0,0,0
Spring 2023,Upper Division,C E 315L,369572405,1,24,24,0,0,0,6,12,0,6,0,0,0,0,0
Spring 2023,Upper Division,C E 488A,2981049656,1,24,24,24,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,C E 488AL,2981049656,1,24,24,24,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,CIT 270L,2575483471,1,24,24,10,4,3,2,3,0,0,0,0,0,1,1
Spring 2023,Lower Division,COMP 111B,622775989,2,24,24,14,0,0,6,0,0,2,0,0,2,0,0
Spring 2023,Lower Division,COMP 111BL,622775989,1,24,24,14,0,0,6,0,0,2,0,0,2,0,0
Spring 2023,Upper Division,CIT 360L,2115916956,1,24,24,2,5,5,6,1,2,1,1,0,0,0,1
Spring 2023,Upper Division,COMP 485,425939385,3,24,24,16,1,3,3,1,0,0,0,0,0,0,0
Spring 2023,Graduate,COMP 680,1170279072,3,24,24,12,8,3,0,0,0,0,0,0,0,0,1
Spring 2023,Graduate,ECE 524,383154025,3,24,24,18,1,2,2,1,0,0,0,0,0,0,0
Spring 2023,Graduate,ECE 527,2443503401,3,24,24,12,5,3,2,2,0,0,0,0,0,0,0
Spring 2023,Upper Division,A E 486B,3168107018,2,24,24,12,3,5,2,1,0,1,0,0,0,0,0
Spring 2023,Upper Division,M E 386,211227788,2,24,24,7,6,2,4,3,1,1,0,0,0,0,0
Spring 2023,Upper Division,M E 386L,211227788,1,24,24,7,6,2,4,3,1,1,0,0,0,0,0
Spring 2023,Upper Division,CADV 460,3435812297,3,24,24,17,2,0,0,2,0,1,0,0,0,0,2
Spring 2023,Graduate,CD 501,1527323987,3,24,24,24,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CD 660,3901453587,3,24,24,21,0,0,3,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,FCS 330,3892726547,3,24,24,13,2,3,2,1,0,2,0,0,0,0,1
Spring 2023,Upper Division,FCS 411,3105896327,3,24,24,20,4,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,FCS 441,3638738336,3,24,24,7,2,3,3,4,0,1,0,0,1,1,2
Spring 2023,Upper Division,FCS 494,469539090,2,24,24,24,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,FCS 494I,469539090,1,24,24,24,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,HSCI 331,2142743535,3,24,24,4,10,1,1,3,3,0,0,1,0,0,1
Spring 2023,Upper Division,HSCI 390,2952715490,3,24,24,11,1,0,3,3,2,1,3,0,0,0,0
Spring 2023,Upper Division,HSCI 390L,2729328524,1,24,24,14,1,3,2,2,0,1,1,0,0,0,0
Spring 2023,Upper Division,HSCI 416,2639566079,3,24,24,18,1,0,5,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,HSCI 419,684093058,3,24,24,11,6,1,1,4,0,0,1,0,0,0,0
Spring 2023,Upper Division,HSCI 445,1204135023,3,24,24,10,11,1,2,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,HSCI 445,2832535440,3,24,24,2,6,5,7,1,0,2,1,0,0,0,0
Spring 2023,Graduate,HSCI 533,386191089,3,24,24,7,8,1,4,1,0,1,0,0,0,0,2
Spring 2023,Graduate,HSCI 536,228464900,3,24,24,22,1,0,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,HSCI 541,1223249013,3,24,24,21,2,1,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,HSCI 613,4034406050,3,24,24,17,7,0,0,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,KIN 139A,2231957426,1,24,24,18,3,2,1,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,KIN 371,2055905526,2,24,24,8,6,5,4,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,KIN 371L,2055905526,1,24,24,8,6,5,4,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,KIN 456,4122044812,3,24,24,6,9,4,2,0,0,0,1,0,1,0,1
Spring 2023,Upper Division,CH S 366,1630967178,3,24,24,4,6,4,3,2,1,1,1,0,0,0,2
Spring 2023,Upper Division,ENGL 408,2856965082,3,24,24,16,4,4,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,ENGL 487,2040015725,3,24,24,14,5,0,3,0,0,1,0,0,0,0,1
Spring 2023,Upper Division,ENGL 495ESM,993301189,3,24,24,17,5,1,0,1,0,0,0,0,0,0,0
Spring 2023,Lower Division,JAPN 101,1383975703,4,24,24,11,3,0,1,0,0,1,0,1,0,1,6
Spring 2023,Upper Division,SPAN 306,896572404,3,24,24,21,2,0,1,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,QS 151,225815428,3,24,24,7,5,4,3,0,0,0,0,0,0,0,5
Spring 2023,Lower Division,BIOL 101L,3984791184,1,24,24,5,0,0,8,0,0,5,0,0,3,0,3
Spring 2023,Lower Division,BIOL 101L,1325841712,1,24,24,9,0,0,9,0,0,3,0,0,1,0,2
Spring 2023,Lower Division,BIOL 101L,1560981029,1,24,24,7,0,0,7,0,0,9,0,0,1,0,0
Spring 2023,Lower Division,BIOL 101L,4263243573,1,24,24,3,0,0,4,0,0,9,0,0,4,0,4
Spring 2023,Lower Division,BIOL 101L,4263243573,1,24,24,2,0,0,4,0,0,8,0,0,5,0,5
Spring 2023,Lower Division,BIOL 106L,2200974968,1,24,24,5,3,0,2,2,1,4,3,0,0,2,2
Spring 2023,Lower Division,BIOL 106L,1182649658,1,24,24,3,2,1,3,4,1,4,1,2,1,0,2
Spring 2023,Lower Division,BIOL 107L,1560981029,1,24,24,3,1,2,7,1,2,5,0,2,1,0,0
Spring 2023,Lower Division,BIOL 107L,1318074876,1,24,24,1,1,0,1,4,5,5,4,0,2,0,1
Spring 2023,Lower Division,BIOL 107L,1890714729,1,24,24,2,0,0,3,5,2,1,4,3,2,0,2
Spring 2023,Lower Division,BIOL 212,360108670,1,24,24,5,3,3,3,3,4,1,2,0,0,0,0
Spring 2023,Lower Division,BIOL 282,159993970,1,24,24,18,2,2,2,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,BIOL 429,718498156,2,24,24,0,2,5,7,7,2,1,0,0,0,0,0
Spring 2023,Upper Division,BIOL 429L,718498156,1,24,24,0,2,5,7,7,2,1,0,0,0,0,0
Spring 2023,Upper Division,BIOL 485,390825792,2,24,24,4,1,0,2,3,1,5,1,0,2,1,4
Spring 2023,Upper Division,BIOL 485L,390825792,2,24,24,11,2,5,4,1,0,0,1,0,0,0,0
Spring 2023,Upper Division,BIOL 492I,718498156,1,24,24,0,2,5,7,7,2,1,0,0,0,0,0
Spring 2023,Upper Division,BIOL 496BC,1975384234,3,24,24,6,9,7,1,0,0,1,0,0,0,0,0
