"Subject Catalog Nbr
",Title,"Instructors

","Term
","Term Code
",Cross- listed,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP,S,U,I,W,IP,-,Total
FILM 170B,Film/Video Productn,Cameron Archer,2019 Spr,2192,N,,15,7,,,,,,,,,,2,,,,,,,,,24
FILM 170B,Film/Video Productn,Gustavo Vazquez,2019 Spr,2192,N,,10,6,1,5,,,,,,,,,,,,,,1,,,23
FILM 171C,Found Footage,Rick Prelinger,2019 Spr,2192,N,,23,,,,,,,,,,,,1,,,,,,,,24
FILM 172,NarrativeVideoWksp,Lawrence Andrews,2019 Spr,2192,N,4,9,2,,2,,,,,,,,,,,,,,,,,17
FILM 179B,Doc Animation Wkshp,John Jota Leanos,2019 Spr,2192,N,,15,2,1,1,,,,,,,,1,,,,,,1,,,21
FILM 194S,Special Topics Seminar,Yiman Wang,2019 Spr,2192,N,,,5,4,5,2,1,1,,,1,,,1,,,,,,,,20
FILM 194S,Special Topics Seminar,Jonathan Kahana,2019 Spr,2192,N,,3,5,2,4,2,,1,,,,,1,,,,,,,,,18
FILM 194S,Special Topics Seminar,Francesca Romeo,2019 Spr,2192,N,5,,2,3,2,1,,2,,1,,,1,,,,,,,,,17
FILM 196A,Sr Prjct Narr Prod,Gustavo Vazquez,2019 Spr,2192,N,6,9,1,1,3,,,,,,,,,,,,,,,,,20
FILM 196C,Sr Documntry Wksp,Irene Gustafson,2019 Spr,2192,N,1,9,9,,,,,,,,,,,1,,,,,,,,20
FMST 16,Media Histories,Madhavi Murty,2019 Spr,2192,N,13,10,22,28,13,,1,3,,,,,2,14,1,,,,1,,,108
FMST 30,Feminism and Science,Karen Barad,2019 Spr,2192,N,3,17,3,4,5,2,,1,,,,,1,5,1,1,,,3,,,46
FMST 125,"Race, Sex, and Tech",Veda Alexandra Popovici,2019 Spr,2192,N,,34,9,2,4,4,,1,,,,,,3,,1,,,,,,58
FMST 145,Race/Gender Formatn,Jennifer Kelly,2019 Spr,2192,N,13,26,10,12,5,1,2,2,,1,1,,8,13,4,,,,7,,,105
FMST 188,Topics in FMST,Dana Ahern,2019 Spr,2192,N,5,9,5,1,1,2,,,,,,,,3,1,,,,2,,,29
FMST 188,Topics in FMST,Yizhou Guo,2019 Spr,2192,N,2,1,3,7,1,,1,1,,,,,,6,,,,,,,,22
FMST 194C,Gender & Iconicity,Madhavi Murty,2019 Spr,2192,N,,3,1,7,,,,,,,,,1,,,,,,,,,12
FREN 2,French: First Year,Carine Rohmer,2019 Spr,2192,N,1,7,2,2,4,1,3,,,,,,,2,1,,,,,,,23
FREN 2,French: First Year,Carine Rohmer,2019 Spr,2192,N,,3,2,3,,1,4,,,,2,,,,,2,,,1,,,18
FREN 3,French: First Year,Renee Cailloux,2019 Spr,2192,N,1,1,2,1,1,,1,1,1,,1,,,,1,1,,,1,,,13
FREN 3,French: First Year,Harley Siskin,2019 Spr,2192,N,,3,4,1,1,2,,1,,,,,,,,2,,,,,,14
FREN 4,French: Second Year,Renee Cailloux,2019 Spr,2192,N,2,2,3,3,2,2,1,,,,,,,2,1,,,,,,,18
FREN 121,Hist French Lang,Bryan Donaldson,2019 Spr,2192,N,3,4,1,1,2,,,2,,,1,,1,2,,,,,,,,17
GAME 221,Prof Development I,Michael John,2019 Spr,2192,N,,7,1,,,,,,,,,,,,,18,,,,,,26
GAME 231,Game Technologies,Edward Melcer,2019 Spr,2192,N,,7,,,,,,,,,,,,,,19,,,,,,26
GAME 270,Games & Play Studio I,Michael John,2019 Spr,2192,Y,,5,,,,,,,,,,,,,,15,,,,,,20
GERM 3,German: First Year,Gabriela Gavande,2019 Spr,2192,N,,7,3,1,,3,,2,,,,,,,,1,,,1,,,18
GERM 3,German: First Year,Antje Morgenstern,2019 Spr,2192,N,3,4,2,1,,,1,,,,,,,1,,,,,,,,12
GERM 6,German: Second Year,Gabriela Gavande,2019 Spr,2192,N,,7,,,,,,,2,,,,,1,1,1,,,,,,12
HAVC 22,Rel & Vis In China,Raoul Birnbaum,2019 Spr,2192,N,,7,6,12,13,9,4,3,1,,,,2,12,,,,,3,,,72
HAVC 49,MemesDigitalVisual,Kyle Parry,2019 Spr,2192,N,5,31,19,26,20,8,3,1,,,,,4,11,,,,,2,,,130
HAVC 55,Unclothed,Maria Evangelatou,2019 Spr,2192,N,2,13,31,35,41,17,5,16,5,1,1,1,9,21,1,,,,5,,,204
HAVC 80,Afr/Oceana/Americas,Elisabeth Cameron,2019 Spr,2192,N,1,31,30,11,28,5,2,2,1,,,,4,23,2,,,,3,,,143
HAVC 110,West Afr Vis Cultur,Kristen Laciste,2019 Spr,2192,N,2,6,9,9,8,8,7,1,,,,,3,3,,,,,1,,,57
HAVC 140C,"Race, Amer Vis Arts",Madison Treece,2019 Spr,2192,N,1,12,16,3,7,13,1,2,2,,1,,2,8,,,,,1,,,69
HAVC 140D,Chicano/Chicana Art,Jennifer Gonzalez,2019 Spr,2192,N,7,12,11,3,18,7,2,3,1,,1,,1,6,1,,,,5,,,78
HAVC 141E,Hist of Photography,Alison Dean,2019 Spr,2192,N,,5,13,3,19,9,1,1,2,2,,,5,4,1,,,,1,,,66
HAVC 179,Topics-Oceania,Margaret Wander,2019 Spr,2192,N,,3,4,9,13,4,,,,,1,,,1,,,,,,,,35
HAVC 190J,Vietnam/American War,Boreth Ly,2019 Spr,2192,N,,2,10,5,1,,,,,,,,,2,,,,,,,,20
HEBR 80,Intro Bible Hebrew,Galia Stein-Rosen,2019 Spr,2192,N,7,12,6,3,1,,1,1,,,,,,4,,,,,,,,35
HIS 9,Intr Native Am His,Edward Smyth,2019 Spr,2192,N,8,31,24,20,31,12,3,7,,,2,1,3,14,,,,,2,,,158
HIS 10B,US Hist 1877-1977,Matthew Lasar,2019 Spr,2192,N,,61,71,18,20,14,8,8,2,1,1,1,8,54,2,,,,9,,,278
HIS 15,US His for NonMajors,Matthew Lasar,2019 Spr,2192,N,,21,36,16,18,8,4,3,,,,,2,93,3,,,,4,,,208
HIS 44,Modern South Asia,Juned Shaikh,2019 Spr,2192,N,5,32,26,8,10,4,,2,,,1,,5,19,2,,,,5,,,119
HIS 59,Hist Eng Language,Charles Hedrick,2019 Spr,2192,N,,6,6,4,6,2,1,3,,,,,3,13,,,,,5,,,49
HIS 76,The Holocaust,Alma Heckman; Nathaniel Deutsch,2019 Spr,2192,N,1,28,57,23,8,17,2,,1,2,1,,10,12,1,,,,9,,,172
HIS 100,His Skills & Methds,Nathaniel Deutsch,2019 Spr,2192,N,,11,5,5,7,9,3,,1,1,,,,,,,,,1,,,43
HIS 104C,Am Ind Hist On Film,Edward Smyth,2019 Spr,2192,N,,11,13,11,11,1,,1,,,,,2,4,1,,,,,,,55
HIS 105,Nations&Nationalism,Kiva Silver,2019 Spr,2192,N,3,6,4,4,4,2,,7,,1,1,1,5,3,2,1,,,7,,,51
HIS 125A,Indigenous Cali,Lisbeth Haas,2019 Spr,2192,N,,8,7,2,1,1,3,3,2,,,,,1,,,,,4,,,32
HIS 130,His of Modern Cuba,Maria Diaz,2019 Spr,2192,N,,6,3,2,4,4,2,1,,,,,,2,,,,,1,,,25
HIS 134B,"Mexico, 1850-Presnt",Matthew O'Hara,2019 Spr,2192,N,1,5,6,4,8,3,2,12,4,1,1,1,6,2,,,,,3,,,59
HIS 140E,Women in China,Gail Hershatter,2019 Spr,2192,N,,9,6,8,7,5,4,3,,,,,3,4,,,,,,,,49
HIS 141B,China: 6 Cen-16 Cen,Christopher Connery,2019 Spr,2192,Y,,9,4,4,1,2,,,,,,,,3,,,,,,,,23
LIT 141C,China: 6 Cen-16 Cen,Christopher Connery,2019 Spr,2192,Y,3,16,7,2,5,2,,,,,,,3,3,,,,,1,,,42
HIS 154,Post-Col Nor Africa,Muriam Davis,2019 Spr,2192,N,,7,11,4,1,1,2,,,,,,1,6,,,,,1,,,34
HIS 164B,Renaissance Italy,Cynthia Polecritti,2019 Spr,2192,N,7,10,2,5,6,3,2,1,,,,,2,3,2,,,,,,,43
HIS 167B,The 2nd World War,Edward Kehler,2019 Spr,2192,N,,3,10,8,19,3,2,1,,,,,2,4,,,,,2,,,54
HIS 173B,Imperial Russia,Maya Peterson,2019 Spr,2192,N,2,13,8,3,4,,,,,,,,,2,,,,,2,,,34
HIS 178B,Europ Intellec Hist,Bruce Thompson,2019 Spr,2192,N,6,5,5,6,3,1,1,,,,,,1,1,,,,,2,,,31
HIS 185C,Comp Jewish Pol,Alma Heckman,2019 Spr,2192,N,2,10,7,7,3,1,,,,,,,1,2,,,,,1,,,34
HIS 190W,CivilWarReconstrctn,Catherine Jones,2019 Spr,2192,N,,7,6,2,1,2,,1,,,,,1,,,,,,,,,20
HIS 194Z,Memory in China,Gail Hershatter,2019 Spr,2192,N,,3,3,4,3,,,,,,,,,,,,,,,,,13
HIS 196D,City of Rome,Cynthia Polecritti,2019 Spr,2192,N,4,3,4,2,2,,,,1,,,,,,,1,,,1,,,18
HIS 196G,Mod Germany & Europ,Edward Kehler,2019 Spr,2192,N,,4,5,2,2,,,,,,,,,1,,,,,,,,14
HIS 204A,Gender Research Sem,Marilyn Westerkamp,2019 Spr,2192,N,,,,,,,,,,,,,,,,12,,,,,,12
HISC 115,Radical Right Cap,Justin Gilmore,2019 Spr,2192,N,,17,8,5,11,3,,3,,,1,,,10,,,,,1,,,59
ITAL 3,Italian: First Year,Maria Prencipe,2019 Spr,2192,N,,3,3,2,2,,,,,,,,,1,,1,,,,,,12
ITAL 80,Italian/Film,Giulia Centineo,2019 Spr,2192,N,1,2,3,10,7,1,,,,,,,,3,,,,,,,,27
JAPN 3,Japanese: First Year,Keiko Yukawa,2019 Spr,2192,N,,2,1,3,8,2,1,,,,,,,,,,,,,,,17
JAPN 3,Japanese: First Year,Naoko Yamamoto,2019 Spr,2192,N,,4,3,6,6,,3,1,,,1,,1,6,1,,,,,,,32
JAPN 3,Japanese: First Year,Keiko Yukawa,2019 Spr,2192,N,,13,1,5,2,2,,1,,,,,,6,1,,,,,,,31
JAPN 6,Japanese: Second Year,Sakae Fujita,2019 Spr,2192,N,1,6,,3,,2,2,,1,,,,,2,,,,,,,,17
JAPN 6,Japanese: Second Year,Sakae Fujita,2019 Spr,2192,N,,5,1,4,,2,,2,,,,,,4,,,,,1,,,19
JAPN 105,Advanced Japanese,Naoko Matsuo,2019 Spr,2192,N,2,6,2,3,1,1,1,,,,,,,2,,,,,,,,18
KRSG 2,Power in Media,Chad Noyes,2019 Spr,2192,N,,3,7,,2,,,,,,,,,4,,,,,,,,16
KRSG 3,Natural Hist Pract,Alexander Jones,2019 Spr,2192,N,20,19,5,6,5,2,,4,,1,,,6,11,1,,,,7,,,87
KRSG 12C,Nat Serv/Grant Writ,Franklin Williams,2019 Spr,2192,N,,2,3,4,1,,,,,,,,,2,,,,,,,,12
KRSG 45,Achieving Consensus,Nubra Floyd,2019 Spr,2192,Y,6,4,1,,2,,,,,,,,,,,,,,,,,13
KRSG 60C,Prison Narratives,Wade Cooper,2019 Spr,2192,N,3,26,2,,,,,,,,,,,,,,,,,,,31
KRSG 68,Trans Communication,Christine King,2019 Spr,2192,N,6,3,3,2,2,2,,,1,,,,,3,,,,,1,,,23
KRSG 74,Collab Learning,David Shaw,2019 Spr,2192,N,,11,6,,1,,,,,,1,,,,,,,,,,,19
KRSG 99F,Independent Study,Susan Watrous,2019 Spr,2192,N,,3,,,,,,,,,,,,12,,,,,,,,15
KRSG 100,Learning with Intent,Juliana Leslie,2019 Spr,2192,N,,12,3,1,,,,,,,,,1,3,,,,,1,,,21
KRSG 199,Tutorial,Susan Watrous,2019 Spr,2192,N,,11,1,1,,,,,,,,,,10,1,,,,,,,24
LAAD 199,Tutorial,Renee Cailloux,2019 Spr,2192,N,,,,,,,,,,,,,,21,,,,,,,,21
LALS 5,HumRights/SocJust,Sylvanna Falcon,2019 Spr,2192,N,,16,16,8,10,9,5,4,1,4,1,,6,4,1,,,,5,,,90
LALS 100B,CulturalTheoryAmers,Patricia Pinho,2019 Spr,2192,N,7,14,10,14,11,7,2,6,3,1,2,,7,,,,,,,,,84
LALS 124,Brazilian Cinema,Ana Seara,2019 Spr,2192,N,3,5,1,7,1,2,5,10,,1,,,,2,,,,,,,,37
LALS 128,Latino Media: U.S.,Leslie Lopez,2019 Spr,2192,Y,,2,1,1,2,,1,,,,,,,2,1,,,,2,,,12
LALS 129,America Latina,Cesar Estrella,2019 Spr,2192,N,,21,5,3,1,,,,,,,,1,1,,,,,,,,32
LALS 133,Latina/o Art & Rep,Mauricio Ramirez,2019 Spr,2192,N,,23,5,,2,,,,,,,,,,,,,,,,,30
LALS 158,Latin Am Poli Econ,Fernando Leiva,2019 Spr,2192,N,1,5,8,4,11,,1,,1,,,,4,,,,,,1,,,36
THEA 161P,Chicano Power Movmnt,Kinan Valdez,2019 Spr,2192,Y,7,23,7,4,,,1,1,,,,,,2,,,,,1,,,46
LALS 168,Inter-Am Relations,Lily Balloffet,2019 Spr,2192,N,,2,8,4,3,3,,,,,1,,,,,,,,,,,21
LALS 170,Indigenous Struggles,Jeff Erbig,2019 Spr,2192,N,1,2,19,6,6,4,1,3,,,,,2,2,,,,,,,,46
LALS 178,"Gen,Trnsntlsm,Glbzn",Shankari Patel,2019 Spr,2192,N,7,24,2,4,4,4,3,5,1,,,,,2,,,,,1,,,57
LALS 194A,Immigrant Storytell,Catherine Ramirez,2019 Spr,2192,N,6,3,3,,1,,,,,,,,,,,,,,,,,13
LALS 194B,Global Migration,Lily Balloffet,2019 Spr,2192,N,,2,6,3,3,2,,1,,,,,,1,,,,,1,,,19
LGST 10,Intro Legal Process,Jacqueline Gehring,2019 Spr,2192,N,1,13,41,25,31,24,4,3,5,1,,,2,4,,,,,,,,154
LGST 105B,EarlyMod Pol Thought,Vanita Seth,2019 Spr,2192,Y,,2,2,4,5,4,1,,,,,,,,,,,,1,,,19
POLI 105B,EarlyMod Pol Thought,Vanita Seth,2019 Spr,2192,Y,2,14,18,17,23,12,2,5,1,,,,3,1,,,,,4,,,102
LGST 110,Law & Social Issues,Larry Gerston,2019 Spr,2192,Y,,4,1,1,7,1,2,6,2,1,,,,,,,,,,,,25
POLI 110,Law & Social Issues,Larry Gerston,2019 Spr,2192,Y,,6,,3,8,2,3,6,1,,,,1,2,,,,,,,,32
LGST 120B,Democ Amer Pol Dev,Melanie Springer,2019 Spr,2192,Y,,2,,4,6,2,1,2,,,1,,,1,,,,,1,,,20
POLI 120B,Democ Amer Pol Dev,Melanie Springer,2019 Spr,2192,Y,,23,18,20,27,13,8,6,2,1,,,,3,,,,,1,,,122
LGST 128M,IntlLaw/GlobJustice,Hiroshi Fukurai,2019 Spr,2192,Y,3,5,2,5,3,1,,,,,,,,2,,,,,1,,,22
SOCY 128M,IntlLaw/GlobJustice,Hiroshi Fukurai,2019 Spr,2192,Y,7,9,6,6,6,2,1,,,,,,,1,,,,,,,,38
LGST 132,Ca Water Law/Policy,Larry Gerston,2019 Spr,2192,Y,,2,1,3,3,4,2,5,1,,3,,,1,,,,,,,,25
POLI 132,Ca Water Law/Policy,Larry Gerston,2019 Spr,2192,Y,,7,6,3,7,1,2,4,1,,1,,,,,,,,,,,32
LGST 133,Law of Democracy,Ryan Coonerty,2019 Spr,2192,Y,,14,8,10,3,2,,,,,,,1,,,,,,,,,38
POLI 133,Law of Democracy,Ryan Coonerty,2019 Spr,2192,Y,,4,5,3,5,1,,,,,,,,2,,,,,,,,20
LGST 135,Native Peoples Law,Peter Crook,2019 Spr,2192,N,,9,9,6,8,6,3,1,1,,1,,1,1,1,,,,2,,,49
LGST 151,Politics of Law,Eric Snickars,2019 Spr,2192,Y,,3,12,7,7,2,,,,,,,1,1,,,,,,,,33
POLI 151,Politics of Law,Eric Snickars,2019 Spr,2192,Y,,6,6,5,2,,,,,,,,,1,,,,,,,,20
LGST 153,"Immig, Citizen & Law",Heather Rogers,2019 Spr,2192,N,25,16,2,3,1,,2,1,,,,,,1,,,,,1,,,52
LGST 160B,International Law,Shawn Nichols,2019 Spr,2192,Y,4,12,10,9,18,7,12,3,2,,1,1,4,2,,,,,2,,,87
POLI 160B,International Law,Shawn Nichols,2019 Spr,2192,Y,3,21,9,12,15,11,3,4,3,1,,,2,1,,,,,,,,85
LGST 182,The Power to Punish,Anjuli Verma,2019 Spr,2192,Y,4,8,2,1,1,1,,,,,,,1,,,,,,,,,18
POLI 182,The Power to Punish,Anjuli Verma,2019 Spr,2192,Y,1,7,3,,1,,1,1,,,,,,,,,,,,,,14
LGST 184,Shariah/PolThinking,Yasmeen Daifallah,2019 Spr,2192,Y,,,3,2,8,2,,,,,,,,1,,,,,,,,16
POLI 184,Shariah/PolThinking,Yasmeen Daifallah,2019 Spr,2192,Y,2,3,2,3,2,1,1,1,,,,,2,,,,,,,,,17
LGST 196,Senior Capstone,Gary Patton,2019 Spr,2192,N,2,15,,,15,,,6,,,,,1,1,,,,,,,,40
LING 50,Intr To Linguistics,Ivy Sichel,2019 Spr,2192,N,21,32,19,19,36,17,11,11,6,4,4,1,3,10,1,,,,4,,,199
LING 80K,Invented Languages,Pranav Anand,2019 Spr,2192,N,40,116,130,71,40,43,20,17,7,3,,,8,127,6,,,,6,,,634
LING 101,Phonology I,Maho Morimoto,2019 Spr,2192,N,3,6,5,10,11,6,1,3,,,,,3,5,,,,,10,,,63
LING 111,Syntactic Structures,Matthew Wagers,2019 Spr,2192,N,3,5,13,5,13,8,4,3,1,,,,5,10,2,,,,2,,,74
LING 113,Syntax II,Maziar Toosarvandani,2019 Spr,2192,N,2,10,8,4,9,,4,1,,,1,,2,2,1,,,,5,,,49
LING 117,Pragmatics,Donka Farkas,2019 Spr,2192,N,,16,10,1,5,,,2,,,,,2,4,,,,,1,,,41
LING 124,Language Typology,Nicholas Kalivoda,2019 Spr,2192,N,2,9,,1,,,,3,,,,,,3,,,,,,,,18
LING 145,Native Lang Nor Amer,Steven Foley,2019 Spr,2192,N,,6,1,3,1,1,,,,,,,1,,,,,,1,,,14
LING 155,"Language, Cognition",Margaret Kroll,2019 Spr,2192,N,,8,6,4,3,1,1,,,,,,1,2,,,,,1,,,27
LING 296,Linguistics Colloq,Matthew Wagers,2019 Spr,2192,N,,,,,,,,,,,,,,,,21,,,,,,21
LIT 1,Literary Interpret,Juan Poblete,2019 Spr,2192,N,,9,18,14,7,9,1,,,,,,4,4,1,,,,2,,,69
LIT 80I,American Culture,Erik Bachman,2019 Spr,2192,N,,7,28,18,24,7,1,5,,,,,5,26,1,,,,9,,,131
LIT 80Q,Jane the Virgin,Amanda Smith,2019 Spr,2192,N,3,55,74,29,48,24,9,7,6,1,3,,7,20,2,,,,4,,,292
LIT 90,Intro Creative Writ,Jose Antonio Villaran,2019 Spr,2192,N,1,7,8,6,1,1,,,,,,,,1,,,,,,,,25
LIT 90,Intro Creative Writ,Courtney Kersten,2019 Spr,2192,N,8,11,1,,2,,,,,,,,,,,,,,,,,22
LIT 90,Intro Creative Writ,James Jackson,2019 Spr,2192,N,6,8,4,4,1,,,,,,,,,,,,,,,,,23
LIT 91A,Inter Fiction Writing,Chacko Kuruvilla,2019 Spr,2192,N,4,19,3,,,,,,,,,,,1,,,,,,,,27
LIT 91B,Inter Poetry Writing,Jared Harvey,2019 Spr,2192,N,12,1,,,,,,,1,,,,,1,,,,,,,,15
LIT 99F,Tutorial,Gary Young,2019 Spr,2192,N,,19,,,,,,,,,,,,9,,,,,,,,28
LIT 101,Theory & Interpretn,Vilashini Cooppan,2019 Spr,2192,N,1,42,28,9,12,3,,3,,,,,3,1,,,,,2,,,104
LIT 111D,Shakespeare,Abigail Heald,2019 Spr,2192,N,2,16,29,11,27,13,10,2,1,1,,1,5,5,,,,,3,,,126
LIT 125B,Studies Engl Novel,Laura Martin,2019 Spr,2192,N,,9,13,10,8,5,2,1,1,,,,3,6,1,,,,2,,,61
LIT 133H,Korean War Lit/Film,Christine Hong,2019 Spr,2192,N,11,10,12,11,2,4,4,,,,,,1,2,,,,,3,,,60
LIT 137A,Global Cities,Saein Park,2019 Spr,2192,N,1,12,15,13,6,2,,,,,,,3,2,1,,,,2,,,57
LIT 138B,Regions Amer Lit,Robert Wilson,2019 Spr,2192,N,,8,13,5,1,2,,,,,,,2,,,,,,,,,31
LIT 146G,Queering Vict Lit,Tara Thomas,2019 Spr,2192,N,,8,2,7,3,2,2,3,1,,,,1,1,,,,,,,,30
LIT 149C,The 1960s,Christopher Connery,2019 Spr,2192,N,,17,10,16,9,7,2,2,,,,,2,12,,,,,5,,,82
LIT 164J,Jewish Writers,Bruce Thompson,2019 Spr,2192,N,9,18,3,5,,,,,,,,,,2,,,,,,,,37
LIT 179A,Adv Writing-Fiction,Melissa Sanders-Self,2019 Spr,2192,N,,21,,,,,,1,,,,,,1,,,,,,,,23
LIT 179C,Methods & Materials,Robert Wilson,2019 Spr,2192,N,,11,4,5,,,,,,,,,,,,,,,,,,20
LIT 184A,Intro to Greek Lit,Charles Hedrick,2019 Spr,2192,N,1,5,5,3,,,,,,,,,1,,,,,,1,,,16
LIT 186A,Intro to Latin Lit,Kristina Chew,2019 Spr,2192,N,,3,4,2,5,,,,,,,,1,2,,,,,,,,17
LIT 189B,El Siglo XIX,Amanda Smith,2019 Spr,2192,N,,6,7,1,1,2,,,,,,,,,,,,,,,,17
LIT 189Z,Literatura de Chile,Juan Poblete,2019 Spr,2192,N,,1,,1,2,,2,2,,,,,,6,1,,,,3,,,18
LIT 190A,Pre/Early Studies,Camilo Gomez-Rivas,2019 Spr,2192,N,,6,7,3,3,1,,,,,1,,1,,,,,,,,,22
LIT 190T,Topics Modern Lit,Vilashini Cooppan,2019 Spr,2192,N,1,11,9,7,1,1,,,,,,,,,,,,,,,,30
LIT 190V,Fiction Senior Sem,Micah Perks,2019 Spr,2192,N,10,10,,1,,1,,,,,,,,,,,,,,,,22
LIT 190W,Poetry Senior Sem,Gary Young,2019 Spr,2192,N,3,18,,,,,,,,,,,,,,,,,,,,21
MATH 3,Precalculus,Matthew Lee,2019 Spr,2192,N,4,3,3,6,3,4,2,6,3,2,2,2,8,5,4,,,,3,,,60
MATH 11A,Calculus with Apps,Edward Migliore,2019 Spr,2192,N,,19,,8,35,3,14,36,,,12,,29,1,,,,,3,,,160
MATH 11B,Calculus with Apps,Edward Migliore,2019 Spr,2192,N,,20,8,12,16,10,15,67,,,10,,41,,1,,,,12,,,212
MATH 19A,"Calc:Sci,Engin,Math",Hirotaka Tamanoi,2019 Spr,2192,N,3,8,11,9,8,9,10,10,8,,4,3,11,,1,,,,7,,,102
MATH 19B,"Calc:Sci,Engin,Math",Pedro Morales,2019 Spr,2192,N,36,41,40,36,28,8,14,9,2,,2,,6,,,,,,7,,,229
MATH 21,Linear Algebra,Chongying Dong,2019 Spr,2192,N,9,26,33,29,51,34,16,32,3,,3,,7,2,,,,,14,,,259
MATH 23A,Vector Calculus,Anthony Tromba; Frank Bauerle,2019 Spr,2192,N,13,48,23,23,96,23,51,101,,,41,,8,1,,,,,6,,,434
MATH 23B,Vector Calculus,Edmund Karasiewicz,2019 Spr,2192,N,8,17,1,4,24,2,,16,5,,5,,14,,,,,,7,,,103
MATH 100,Intr Proof/Prb Solv,Frank Bauerle,2019 Spr,2192,N,4,6,5,1,8,8,8,9,1,,11,,1,,,,,,3,,,65
MATH 103A,Complex Analysis,Jie Qing,2019 Spr,2192,N,5,8,6,12,13,5,9,7,,,1,,,1,,,,,1,,,68
MATH 105B,Real Analysis,Steven Flynn,2019 Spr,2192,N,1,2,1,1,2,1,1,1,,,1,,1,,,,,,1,,,13
MATH 107,Partial Diff Equas,Rohit Mishra,2019 Spr,2192,N,5,2,4,7,3,5,5,1,,,,,,4,,,,,1,,,37
MATH 110,Intro Number Theory,Edmund Karasiewicz,2019 Spr,2192,N,4,10,,7,15,4,3,14,6,,,,3,1,,,,,5,,,72
MATH 111T,Algebra,Martin Weissman,2019 Spr,2192,N,1,3,4,2,6,2,4,13,3,1,1,,5,3,1,,,,6,,,55
MATH 115,Graph Theory,Suzana Milea,2019 Spr,2192,N,2,28,6,3,1,2,,,,,,1,1,,,,,,,,,44
MATH 117,Adv Linear Algebra,Beren Sanders,2019 Spr,2192,N,8,5,3,14,4,4,3,6,3,,,,4,,,,,,8,,,62
MATH 121A,Differential Geomtr,Yufei Shan,2019 Spr,2192,N,5,2,1,2,,,1,1,,,,,,,1,,,,2,,,15
MATH 145,Intro Chaos,Debra Lewis,2019 Spr,2192,N,,3,2,4,1,,,7,,,1,,,,1,,,,1,,,20
MATH 145L,Chaos Theory Lab,Debra Lewis,2019 Spr,2192,N,,6,,6,,,,3,,,,,,,,,,,,,,15
MATH 194,Senior Seminar,Viktor Ginzburg,2019 Spr,2192,N,5,9,4,,,,,,,,,,,,,,,,,,,18
MATH 194,Senior Seminar,Anthony Tromba,2019 Spr,2192,N,3,8,3,1,1,,,,,,,,2,2,,,,,,,,20
MATH 194,Senior Seminar,Robert Boltje,2019 Spr,2192,N,4,5,7,1,2,1,2,,,,,,,1,,,,,,,,23
MATH 210,Manifolds III,Debra Lewis,2019 Spr,2192,N,,1,,,,,,,,,,,,,,11,,,,,,12
MATH 254,Geometric Analysis,Jie Qing,2019 Spr,2192,N,,,,,,,,,,,,,,,,14,,,,,,14
MATH 292,Seminar,Francois Monard,2019 Spr,2192,N,,,,,,,,,,,,,,,,19,,,,,,19
MERR 50,Merr Alum Public Ser,Cynthia Chase,2019 Spr,2192,N,,16,,,,,,,,,,,,1,,,,,,,,17
MERR 85C,Classrm Connection,Elizabeth Abrams,2019 Spr,2192,Y,,,,,,,,,,,,,,22,4,,,,,,,26
MERR 90F,Merrill Fld Study Prac,Michael Rotkin,2019 Spr,2192,N,1,11,2,2,,,,,,,,,,2,,,,,1,,,19
MERR 98F,Independent Study,Elizabeth Abrams,2019 Spr,2192,N,,1,,,1,,,,,,,,,20,,,,,,,,22
MERR 98F,Independent Study,Jessie Dubreuil,2019 Spr,2192,N,,12,1,,,,,,,,,,,1,,,,,,,,14
MERR 99F,Tutorial,Elizabeth Abrams,2019 Spr,2192,N,,,3,,1,,,,,,,,,23,,,,,,,,27
MERR 183F,Focus on Africa,Melvin Cox,2019 Spr,2192,N,2,9,3,,3,,,,,,,,,3,,,,,,,,20
METX 119,Microbiology,Karen Ottemann,2019 Spr,2192,N,3,22,20,18,22,13,20,30,1,,2,,5,1,,,,,4,,,161
METX 119L,Gen Microbio Lab,Burcak Artun,2019 Spr,2192,N,3,18,7,9,7,1,,,,,,,,,,,,,,,,45
METX 135,Functional Anatomy,Manel Camps,2019 Spr,2192,N,7,6,11,13,10,17,13,22,1,,,,7,5,2,,,,14,,,128
METX 135L,Functional Anatmy Lab,Manel Camps,2019 Spr,2192,N,6,6,13,11,25,13,10,10,2,,5,,3,5,2,,,,17,,,128
METX 292,Intro Grad Seminar,Fitnat Yildiz,2019 Spr,2192,N,,,,,,,,,,,,,,,,24,,,,,,24
MUSC 1C,Concert Choir,Nathaniel Berman,2019 Spr,2192,N,,36,2,1,2,,,,,,,,,1,,,,,,,,42
MUSC 2,Univ Orchestra,Bruce Kiesling,2019 Spr,2192,N,,35,,,,,,,,,,,1,,,,,,1,,1,38
MUSC 3,Large Jazz Ensemble,Charles Hamilton,2019 Spr,2192,N,4,14,,,,,,,,,,,,,,,,,,,,18
MUSC 5A,Beg W Java Gamelan,Undang Sumarna,2019 Spr,2192,N,,53,,,,,,,,,,,1,6,,,,,3,,,63
MUSC 5A,Beg W Java Gamelan,Undang Sumarna,2019 Spr,2192,N,,57,,,,,,1,,,,,,1,,,,,,,,59
MUSC 5A,Beg W Java Gamelan,Undang Sumarna,2019 Spr,2192,N,,59,,,1,,,1,,,,,,,,,,,,,,61
