,Term,Class Level,Course Subject and Number,Random Instructor ID,Component Unit,A,A-,B,B+,B-,C,C+,C-,D,D+,F
11271,Fall 2016,Upper Division,CMGT 455,38005,2.0,0,15,0,0,0,0,0,0,0,0,0
11272,Fall 2016,Upper Division,CMGT 458,31587,2.0,10,0,10,0,0,0,0,0,0,0,0
11273,Fall 2016,Upper Division,ENGL 441,49917,3.0,0,11,0,0,0,0,0,0,0,0,0
11274,Fall 2016,Upper Division,ENGL 458,32316,3.0,14,0,0,0,0,0,0,0,0,0,0
11275,Fall 2016,Upper Division,ENGL 471,26444,3.0,33,17,0,11,0,0,0,0,0,0,0
11276,Fall 2016,Upper Division,ENGL 471,30122,3.0,0,11,10,0,0,0,0,0,0,0,0
11277,Fall 2016,Upper Division,GERM 486,27278,3.0,10,0,0,0,0,0,0,0,0,0,0
11278,Fall 2016,Upper Division,MECH 432,37409,3.0,0,0,0,13,10,0,0,0,0,0,0
11279,Fall 2016,Upper Division,MGMT 452,51826,3.0,0,0,0,11,0,0,0,0,0,0,0
11280,Fall 2016,Upper Division,MKTG 468,35138,3.0,17,0,0,0,0,0,0,0,0,0,0
11281,Fall 2016,Upper Division,NFSC 431,50571,2.0,12,0,0,0,0,0,0,0,0,0,0
11282,Fall 2016,Upper Division,NFSC 465,46453,2.0,12,0,0,0,0,0,0,0,0,0,0
11283,Fall 2016,Upper Division,NURS 475,35623,3.0,26,0,0,0,0,0,0,0,0,0,0
11284,Fall 2016,Upper Division,PHIL 336,44605,3.0,34,17,12,0,0,13,0,0,0,0,0
11285,Fall 2016,Upper Division,PHIL 370,38246,3.0,0,10,0,0,0,0,0,0,0,0,0
11286,Fall 2016,Upper Division,POLS 461,39687,3.0,0,10,0,0,0,0,0,0,0,0,0
11287,Fall 2016,Upper Division,SOCI 300,45929,3.0,16,10,22,0,0,0,0,0,0,0,0
11288,Fall 2016,Upper Division,SOCI 300,46471,3.0,11,0,0,0,0,0,0,0,0,0,0
11289,Fall 2016,Upper Division,SOSC 495,30938,3.0,28,0,0,0,0,0,0,0,0,0,0
11290,Fall 2016,Upper Division,BSIS 444,29050,3.0,14,0,0,0,0,0,0,0,0,0,0
11291,Fall 2016,Upper Division,CHEM 451,37072,3.0,0,0,0,0,0,10,0,0,14,0,0
11292,Fall 2016,Upper Division,CHLD 357,49562,3.0,0,0,10,0,0,0,0,0,0,0,0
11293,Fall 2016,Upper Division,CMGT 485,30649,3.0,48,11,0,0,0,0,0,0,0,0,0
11294,Fall 2016,Upper Division,CMST 350,49925,3.0,0,0,0,0,0,12,0,0,0,0,0
11295,Fall 2016,Upper Division,CSCI 511,34977,3.0,23,0,0,0,0,0,0,0,0,0,0
11296,Fall 2016,Upper Division,EDTE 523A,35553,3.0,21,0,0,0,0,0,0,0,0,0,0
11297,Fall 2016,Upper Division,EDTE 523A,44908,3.0,24,0,0,0,0,0,0,0,0,0,0
11298,Fall 2016,Upper Division,EDTE 523B,28891,2.0,14,0,0,0,0,0,0,0,0,0,0
11299,Fall 2016,Upper Division,EDTE 523B,41438,2.0,20,0,0,0,0,0,0,0,0,0,0
11300,Fall 2016,Upper Division,EDTE 524A,44222,2.0,38,0,0,0,0,0,0,0,0,0,0
11301,Fall 2016,Upper Division,ENGL 415,30667,3.0,17,0,0,0,0,0,0,0,0,0,0
11302,Fall 2016,Upper Division,MECA 440A,43199,2.0,0,12,0,0,0,0,0,0,0,0,0
11303,Fall 2016,Upper Division,MGMT 471,35209,3.0,0,0,16,0,0,0,0,0,0,0,0
11304,Fall 2016,Upper Division,MUSC 413A,41081,1.0,16,0,0,0,0,0,0,0,0,0,0
11305,Fall 2016,Upper Division,NFSC 310,37587,3.0,17,0,0,0,0,0,0,0,0,0,0
11306,Fall 2016,Upper Division,NFSC 310,39486,3.0,13,0,16,13,14,0,0,0,0,0,0
11307,Fall 2016,Upper Division,NFSC 457,44680,1.0,20,0,0,0,0,0,0,0,0,0,0
11308,Fall 2016,Upper Division,POLS 437,44167,3.0,0,11,0,17,0,0,0,0,0,0,0
11309,Fall 2016,Upper Division,SOCI 360,52116,3.0,40,0,0,0,0,0,0,0,0,0,0
11310,Fall 2016,Upper Division,SOCI 441,48398,3.0,18,0,0,0,0,0,0,0,0,0,0
11311,Fall 2016,Upper Division,ANTH 340,31747,3.0,69,0,14,0,0,0,0,0,0,0,0
11312,Fall 2016,Upper Division,CHLD 382,43064,3.0,30,0,0,0,0,0,0,0,0,0,0
11313,Fall 2016,Upper Division,CIVL 313,40161,4.0,16,0,0,0,0,0,0,0,0,0,0
11314,Fall 2016,Upper Division,CMSD 488,35029,3.0,27,0,0,0,0,0,0,0,0,0,0
11315,Fall 2016,Upper Division,ECON 352,40248,3.0,32,20,14,0,0,18,0,0,0,0,0
11316,Fall 2016,Upper Division,ECON 365,48651,3.0,11,0,0,0,10,0,0,0,0,0,0
11317,Fall 2016,Upper Division,EDTE 524B,26396,2.0,17,0,0,0,0,0,0,0,0,0,0
11318,Fall 2016,Upper Division,GEOS 440,51090,2.0,10,0,0,0,0,0,0,0,0,0,0
11319,Fall 2016,Upper Division,HCSV 320,50573,3.0,31,22,0,11,0,0,0,0,0,0,0
11320,Fall 2016,Upper Division,NFSC 465L,46453,1.0,11,0,0,0,0,0,0,0,0,0,0
11321,Fall 2016,Upper Division,POLS 471A,35446,3.0,21,11,0,0,0,0,0,0,0,0,0
11322,Fall 2016,Upper Division,ACCT 326,45651,3.0,0,0,0,0,12,20,0,0,0,0,0
11323,Fall 2016,Upper Division,ANSC 330,39154,2.0,14,10,12,10,0,0,0,0,0,0,0
11324,Fall 2016,Upper Division,ANSC 440,46184,2.0,0,0,15,0,0,0,0,0,0,0,0
11325,Fall 2016,Upper Division,ANSC 474,35024,2.0,12,0,0,0,0,0,0,0,0,0,0
11326,Fall 2016,Upper Division,BADM 300,32241,3.0,20,12,0,0,0,0,0,0,0,0,0
11327,Fall 2016,Upper Division,BADM 300,33925,3.0,0,41,0,19,0,0,0,0,0,0,0
11328,Fall 2016,Upper Division,BADM 300,37043,3.0,18,14,13,0,0,0,0,0,0,0,0
11329,Fall 2016,Upper Division,BADM 300,39111,3.0,0,11,0,0,0,0,0,0,0,0,0
11330,Fall 2016,Upper Division,BADM 300,40852,3.0,0,16,0,0,12,0,0,0,0,0,0
11331,Fall 2016,Upper Division,BADM 300,43136,3.0,0,17,23,17,29,0,10,0,0,0,0
11332,Fall 2016,Upper Division,BADM 300,43844,3.0,0,0,17,0,10,0,0,0,0,0,0
11333,Fall 2016,Upper Division,EECE 343,47749,4.0,0,0,19,0,0,0,0,0,0,0,0
11334,Fall 2016,Upper Division,HCSV 332,27509,3.0,0,0,16,0,0,0,0,11,0,0,0
11335,Fall 2016,Upper Division,HCSV 360,40040,3.0,0,13,0,0,0,0,0,0,0,0,0
11336,Fall 2016,Upper Division,MUSC 411B,31067,1.0,10,0,0,0,0,0,0,0,0,0,0
11337,Fall 2016,Upper Division,MUSC 411G,34302,1.0,12,0,0,0,0,0,0,0,0,0,0
11338,Fall 2016,Upper Division,MUSC 411J,34302,1.0,14,0,0,0,0,0,0,0,0,0,0
11339,Fall 2016,Upper Division,NFSC 340,38969,3.0,0,0,13,0,0,0,0,0,0,0,0
11340,Fall 2016,Upper Division,NURS 342W,50946,3.0,20,0,0,0,0,0,0,0,0,0,0
11341,Fall 2016,Upper Division,POLS 434,26473,3.0,14,0,0,0,0,0,0,0,0,0,0
11342,Fall 2016,Upper Division,PSYC 354,31541,3.0,0,0,0,0,0,12,0,0,0,0,0
11343,Fall 2016,Upper Division,SPED 580,40318,3.0,17,0,0,0,0,0,0,0,0,0,0
11344,Fall 2016,Upper Division,SPED 580,45667,3.0,20,0,0,0,0,0,0,0,0,0,0
11345,Fall 2016,Upper Division,ACCT 365,53107,3.0,0,0,0,0,0,18,0,0,0,0,0
11346,Fall 2016,Upper Division,ANTH 333,31747,3.0,63,0,18,0,0,0,0,0,0,0,0
11347,Fall 2016,Upper Division,ANTH 484,51403,3.0,10,0,0,0,0,0,0,0,0,0,0
11348,Fall 2016,Upper Division,CSCI 430,52212,2.0,29,0,0,0,0,0,0,0,0,0,0
11349,Fall 2016,Upper Division,CSCI 580,51822,3.0,23,0,0,0,0,0,0,0,0,0,0
11350,Fall 2016,Upper Division,ENGL 350,37336,3.0,27,0,0,0,0,0,0,0,0,0,0
11351,Fall 2016,Upper Division,ENGL 355,43845,3.0,0,0,12,0,0,0,0,0,0,0,0
11352,Fall 2016,Upper Division,FLNG 355,41796,3.0,11,0,0,0,0,0,0,0,0,0,0
11353,Fall 2016,Upper Division,FLNG 380,30957,3.0,25,0,0,0,0,0,0,0,0,0,0
11354,Fall 2016,Upper Division,GEOG 357,26562,3.0,0,0,0,0,0,13,0,0,0,0,0
11355,Fall 2016,Upper Division,HCSV 323,42424,3.0,28,0,0,0,0,0,0,0,0,0,0
11356,Fall 2016,Upper Division,INED 400,-2,0.0,19,13,0,0,0,0,0,0,0,0,0
11357,Fall 2016,Upper Division,INED 401,-2,0.0,31,31,17,29,0,0,0,0,0,0,0
11358,Fall 2016,Upper Division,KINE 346,48640,3.0,0,0,0,10,0,0,0,0,0,0,0
11359,Fall 2016,Upper Division,NFSC 365,44680,3.0,21,0,0,0,0,0,0,0,0,0,0
11360,Fall 2016,Upper Division,PHIL 337,44605,3.0,0,0,0,10,0,0,0,0,0,0,0
11361,Fall 2016,Upper Division,POLS 332,29547,3.0,0,0,13,11,10,0,0,0,0,0,0
11362,Fall 2016,Upper Division,POLS 340A,39879,3.0,33,0,0,0,0,0,0,0,0,0,0
11363,Fall 2016,Upper Division,POLS 441,49926,3.0,14,0,0,0,0,0,0,0,0,0,0
11364,Fall 2016,Upper Division,POLS 460C,43523,3.0,21,0,0,0,0,0,0,0,0,0,0
11365,Fall 2016,Upper Division,RECR 371,27517,3.0,0,13,0,0,0,0,0,0,0,0,0
11366,Fall 2016,Upper Division,RELS 357I,26441,3.0,38,0,0,0,0,0,0,0,0,0,0
11367,Fall 2016,Upper Division,SOCI 420,46471,3.0,12,0,0,0,0,0,0,0,0,0,0
11368,Fall 2016,Upper Division,SOCI 486,51445,3.0,11,10,12,0,0,0,0,0,0,0,0
11369,Fall 2016,Upper Division,SPED 564,49660,3.0,16,0,0,0,0,0,0,0,0,0,0
11370,Fall 2016,Upper Division,AGRI 305,33928,3.0,12,0,0,0,0,0,0,0,10,0,0
11371,Fall 2016,Upper Division,ANTH 340Z,31747,3.0,26,0,0,0,0,0,0,0,0,0,0
11372,Fall 2016,Upper Division,ANTH 376Z,38748,3.0,17,0,0,0,0,0,0,0,0,0,0
11373,Fall 2016,Upper Division,BIOL 323,39221,3.0,81,10,35,25,11,0,13,0,0,0,0
11374,Fall 2016,Upper Division,CHLD 333Z,41904,3.0,16,0,0,0,0,0,0,0,0,0,0
11375,Fall 2016,Upper Division,CMSD 543,42837,3.0,24,0,0,0,0,0,0,0,0,0,0
11376,Fall 2016,Upper Division,EECE 311,44911,4.0,0,0,14,0,14,0,0,0,0,0,0
11377,Fall 2016,Upper Division,GEOS 375,27457,3.0,13,0,0,0,0,0,0,0,0,0,0
11378,Fall 2016,Upper Division,KINE 505,48640,3.0,13,0,0,11,0,0,0,0,0,0,0
11379,Fall 2016,Upper Division,MKTG 482,51821,3.0,11,12,14,27,0,0,0,0,0,0,0
11380,Fall 2016,Upper Division,MUSC 304,42224,3.0,14,0,0,0,0,0,0,0,0,0,0
11381,Fall 2016,Upper Division,NFSC 345,51145,3.0,11,0,0,0,0,0,0,0,0,0,0
11382,Fall 2016,Upper Division,PHYS 376Z,37888,3.0,21,0,0,0,0,0,0,0,0,0,0
11383,Fall 2016,Upper Division,POLS 365Z,36182,3.0,0,16,0,14,0,0,0,0,0,0,0
11384,Fall 2016,Upper Division,POLS 365Z,37311,3.0,13,0,0,0,0,0,0,0,0,0,0
11385,Fall 2016,Upper Division,POLS 365Z,49921,3.0,0,0,12,0,0,0,0,0,0,0,0
11386,Fall 2016,Upper Division,POLS 421,28298,3.0,28,0,0,0,0,0,0,0,0,0,0
11387,Fall 2016,Upper Division,POLS 421,49935,3.0,0,10,0,0,0,0,0,0,0,0,0
11388,Fall 2016,Upper Division,SMFG 458,32892,3.0,10,0,0,0,0,0,0,0,0,0,0
11389,Fall 2016,Upper Division,SOSC 300,26473,3.0,17,0,0,0,0,0,0,0,0,0,0
11390,Fall 2016,Upper Division,TECH 380,42457,3.0,16,0,0,0,0,0,0,0,0,0,0
11391,Fall 2016,Upper Division,ACCT 537,45995,3.0,0,0,0,0,0,27,0,0,0,0,0
11392,Fall 2016,Upper Division,ANSC 360,46184,3.0,0,0,0,15,0,0,0,0,0,0,0
11393,Fall 2016,Upper Division,ARTH 441,50575,3.0,18,0,0,0,0,0,0,0,0,0,0
11394,Fall 2016,Upper Division,BIOL 371,51354,2.0,12,0,15,0,0,0,0,0,0,0,0
11395,Fall 2016,Upper Division,BIOL 411,43591,3.0,19,10,16,0,12,0,0,0,0,0,0
11396,Fall 2016,Upper Division,CSCI 444,34977,2.0,21,0,0,0,0,0,0,0,0,0,0
11397,Fall 2016,Upper Division,CSCI 446,52438,2.0,0,0,0,0,12,0,0,0,0,0,0
11398,Fall 2016,Upper Division,ECON 340I,39504,3.0,0,0,12,0,0,0,0,0,0,0,0
11399,Fall 2016,Upper Division,ENGL 350I,32316,3.0,20,0,0,0,0,0,0,0,0,0,0
11400,Fall 2016,Upper Division,ENGL 478,28368,3.0,16,0,0,0,0,0,0,0,0,0,0
11401,Fall 2016,Upper Division,GEOS 330Z,34037,3.0,0,14,0,0,0,0,0,0,0,0,0
11402,Fall 2016,Upper Division,HCSV 434,41375,3.0,25,0,0,0,0,0,0,0,0,0,0
11403,Fall 2016,Upper Division,MCGS 310Z,48660,3.0,43,11,0,0,0,0,0,0,0,0,0
11404,Fall 2016,Upper Division,MCGS 326Z,39676,3.0,23,0,0,0,0,0,0,0,0,0,0
11405,Fall 2016,Upper Division,NURS 326Z,39676,3.0,25,0,0,0,0,0,0,0,0,0,0
11406,Fall 2016,Upper Division,NURS 400,35378,2.0,23,12,0,0,0,0,0,0,0,0,0
11407,Fall 2016,Upper Division,NURS 403,34885,2.0,0,0,13,0,0,0,0,0,0,0,0
11408,Fall 2016,Upper Division,NURS 413,40343,3.0,0,18,0,0,0,0,0,0,0,0,0
11409,Fall 2016,Upper Division,NURS 414,40343,2.0,20,0,0,0,0,0,0,0,0,0,0
11410,Fall 2016,Upper Division,NURS 414,50942,2.0,18,0,0,0,0,0,0,0,0,0,0
11411,Fall 2016,Upper Division,OSCM 306,27294,3.0,22,23,30,30,30,15,13,0,0,0,0
11412,Fall 2016,Upper Division,OSCM 306,28666,3.0,0,0,20,12,0,16,0,0,0,0,0
11413,Fall 2016,Upper Division,OSCM 306,30538,3.0,27,0,19,15,11,20,0,0,12,0,0
11414,Fall 2016,Upper Division,PHIL 323Z,27519,3.0,48,0,0,14,0,10,0,0,0,0,0
11415,Fall 2016,Upper Division,PHIL 327Z,28473,3.0,11,0,10,16,10,0,0,0,0,0,0
11416,Fall 2016,Upper Division,PHIL 337I,32860,3.0,0,0,10,0,0,0,0,0,0,0,0
11417,Fall 2016,Upper Division,POLS 363,38640,3.0,21,0,0,0,0,0,0,0,0,0,0
11418,Fall 2016,Upper Division,PSSC 353,45296,2.0,0,0,12,0,0,0,0,0,0,0,0
11419,Fall 2016,Upper Division,SOCI 490,43961,3.0,16,26,0,0,0,0,0,0,0,0,0
11420,Fall 2016,Upper Division,CAGD 441,47581,1.0,0,10,0,0,0,0,0,0,0,0,0
11421,Fall 2016,Upper Division,CAGD 495,35992,1.0,0,0,0,0,0,0,0,12,0,0,0
11422,Fall 2016,Upper Division,CDES 344,43202,3.0,0,0,0,0,16,0,0,0,0,0,0
11423,Fall 2016,Upper Division,CINS 370,27803,3.0,11,0,0,0,0,0,0,0,0,0,0
11424,Fall 2016,Upper Division,CSCI 340,47978,3.0,0,0,11,0,0,0,0,0,0,0,0
11425,Fall 2016,Upper Division,CSCI 550,51822,3.0,20,0,0,0,0,0,0,0,0,0,0
11426,Fall 2016,Upper Division,KINE 484,32053,2.0,10,0,0,0,0,0,0,0,0,0,0
11427,Fall 2016,Upper Division,KINE 530,28763,3.0,18,10,0,0,0,0,0,0,0,0,0
11428,Fall 2016,Upper Division,NURS 311,53108,2.0,21,0,0,0,0,0,0,0,0,0,0
11429,Fall 2016,Upper Division,NURS 312,52610,2.0,30,0,0,0,0,0,0,0,0,0,0
11430,Fall 2016,Upper Division,NURS 343,51737,3.0,40,0,0,0,0,0,0,0,0,0,0
11431,Fall 2016,Upper Division,POLS 453,38920,3.0,28,0,0,0,0,0,0,0,0,0,0
11432,Fall 2016,Upper Division,RECR 586,29078,1.0,56,0,0,0,0,0,0,0,0,0,0
11433,Fall 2016,Upper Division,AGED 421,52612,2.0,0,10,0,0,0,0,0,0,0,0,0
11434,Fall 2016,Upper Division,AGRI 432,28885,3.0,11,0,0,0,0,0,0,0,0,0,0
11435,Fall 2016,Upper Division,ARTH 400,27307,3.0,13,0,0,0,0,0,0,0,0,0,0
11436,Fall 2016,Upper Division,BIOL 322I,43138,3.0,11,10,0,0,10,0,0,0,0,0,0
11437,Fall 2016,Upper Division,BIOL 451,31091,2.0,19,0,0,0,0,0,0,0,0,0,0
11438,Fall 2016,Upper Division,CAGD 377,35992,2.0,0,0,0,0,11,0,0,0,0,0,0
11439,Fall 2016,Upper Division,CAGD 470,35992,1.0,0,0,10,0,0,0,0,0,0,0,0
11440,Fall 2016,Upper Division,CDES 398,27286,2.0,12,0,0,0,0,0,0,0,0,0,0
11441,Fall 2016,Upper Division,CDES 461,29499,3.0,27,0,0,0,0,0,0,0,0,0,0
11442,Fall 2016,Upper Division,CDES 463,52431,3.0,12,0,0,0,0,0,0,0,0,0,0
11443,Fall 2016,Upper Division,CHEM 453L,37072,1.0,0,12,0,11,0,0,0,0,0,0,0
11444,Fall 2016,Upper Division,CHLD 351,43064,3.0,15,0,0,0,0,0,0,0,0,0,0
11445,Fall 2016,Upper Division,CMGT 462,30906,3.0,27,15,0,0,0,0,0,0,0,0,0
11446,Fall 2016,Upper Division,CMST 384,34543,3.0,0,23,0,13,0,0,0,0,0,0,0
11447,Fall 2016,Upper Division,CMST 459,49925,3.0,0,0,0,0,11,0,0,0,0,0,0
11448,Fall 2016,Upper Division,ENGL 338Z,33706,3.0,18,0,0,0,0,0,0,0,0,0,0
11449,Fall 2016,Upper Division,ENGL 342Z,38988,3.0,10,20,0,11,0,0,0,0,0,0,0
11450,Fall 2016,Upper Division,FINA 498,48407,3.0,23,0,0,0,0,0,0,0,0,0,0
11451,Fall 2016,Upper Division,HIST 301,51407,3.0,0,0,12,0,0,0,0,0,0,0,0
11452,Fall 2016,Upper Division,HIST 313,41091,3.0,0,0,10,0,0,0,0,0,0,0,0
11453,Fall 2016,Upper Division,JOUR 451,28736,2.0,0,10,0,0,0,0,0,0,0,0,0
11454,Fall 2016,Upper Division,KINE 305,27877,2.0,10,0,0,0,0,0,0,0,0,0,0
11455,Fall 2016,Upper Division,KINE 345,30931,3.0,0,0,0,0,14,0,0,0,0,0,0
11456,Fall 2016,Upper Division,KINE 516,34556,3.0,14,0,0,0,0,0,0,0,0,0,0
11457,Fall 2016,Upper Division,MECH 340,28906,3.0,0,0,0,10,0,0,0,0,0,0,0
11458,Fall 2016,Upper Division,MKTG 483,52600,3.0,0,0,12,0,0,0,0,0,0,0,0
11459,Fall 2016,Upper Division,MUSC 412E,39524,1.0,11,0,0,0,0,0,0,0,0,0,0
11460,Fall 2016,Upper Division,NURS 404,39366,2.0,10,0,0,0,0,0,0,0,0,0,0
11461,Fall 2016,Upper Division,NURS 412,41901,1.0,27,11,0,0,0,0,0,0,0,0,0
11462,Fall 2016,Upper Division,RECR 523,37173,3.0,12,0,0,0,0,0,0,0,0,0,0
11463,Fall 2016,Upper Division,RELS 339Z,27328,3.0,0,0,12,0,0,0,0,0,0,0,0
11464,Fall 2016,Upper Division,SCED 321,49573,1.0,11,0,0,0,0,0,0,0,0,0,0
11465,Fall 2016,Upper Division,SCED 342,43150,1.0,15,11,10,0,0,0,0,0,0,0,0
11466,Fall 2016,Upper Division,SCED 343,42157,1.0,29,0,0,0,0,0,0,0,0,0,0
11467,Fall 2016,Upper Division,SCED 350,50941,2.0,12,0,0,0,0,0,0,0,0,0,0
11468,Fall 2016,Upper Division,SOCI 375,46471,3.0,14,0,0,11,0,0,0,0,0,0,0
11469,Fall 2016,Upper Division,SPAN 489,31400,3.0,17,0,0,0,0,0,0,0,0,0,0
11470,Fall 2016,Upper Division,SWRK 478,29600,3.0,15,0,0,0,0,0,0,0,0,0,0
11471,Fall 2016,Upper Division,THEA 352,49547,3.0,12,0,0,0,0,0,0,0,0,0,0
11472,Fall 2017,Graduate Division,CMSD 620,35029,4.0,17,0,0,0,0,0,0,0,0,0,0
11473,Fall 2017,Graduate Division,CMSD 632,35029,2.0,24,0,0,0,0,0,0,0,0,0,0
11474,Fall 2017,Graduate Division,CMSD 652,44258,3.0,0,13,0,0,0,0,0,0,0,0,0
11475,Fall 2017,Graduate Division,EDMA 610,28891,3.0,16,0,0,0,0,0,0,0,0,0,0
11476,Fall 2017,Graduate Division,EDMA 611,26502,3.0,16,0,0,0,0,0,0,0,0,0,0
11477,Fall 2017,Graduate Division,PSYC 600,53253,3.0,14,0,0,0,0,0,0,0,0,0,0
11478,Fall 2017,Graduate Division,PSYC 672,27287,3.0,13,0,0,0,0,0,0,0,0,0,0
11479,Fall 2017,Graduate Division,SWRK 601,35213,3.0,17,0,0,0,0,0,0,0,0,0,0
11480,Fall 2017,Graduate Division,SWRK 605,38961,3.0,13,0,0,0,0,0,0,0,0,0,0
11481,Fall 2017,Graduate Division,SWRK 617,27937,4.0,11,0,0,0,0,0,0,0,0,0,0
11482,Fall 2017,Graduate Division,SWRK 643,37477,3.0,38,0,0,0,0,0,0,0,0,0,0
11483,Fall 2017,Graduate Division,SWRK 653,38961,3.0,19,0,0,0,0,0,0,0,0,0,0
11484,Fall 2017,Graduate Division,SWRK 653,43961,3.0,14,0,0,0,0,0,0,0,0,0,0
11485,Fall 2017,Graduate Division,BIOL 605,50566,1.0,12,0,0,0,0,0,0,0,0,0,0
11486,Fall 2017,Graduate Division,ENGL 620,32300,3.0,13,0,0,0,0,0,0,0,0,0,0
11487,Fall 2017,Graduate Division,FINA 655,44288,3.0,10,0,0,0,0,0,0,0,0,0,0
11488,Fall 2017,Graduate Division,MKTG 673,51821,3.0,14,0,0,0,0,0,0,0,0,0,0
11489,Fall 2017,Graduate Division,PSYC 679,53253,3.0,13,0,0,0,0,0,0,0,0,0,0
11490,Fall 2017,Graduate Division,SWRK 641,30090,3.0,14,0,0,0,0,0,0,0,0,0,0
11491,Fall 2017,Graduate Division,SWRK 641,34886,3.0,21,0,0,0,0,0,0,0,0,0,0
11492,Fall 2017,Graduate Division,EDTE 672,28431,4.0,26,0,0,0,0,0,0,0,0,0,0
11493,Fall 2017,Graduate Division,EDTE 672,35073,4.0,19,0,0,0,0,0,0,0,0,0,0
11494,Fall 2017,Graduate Division,EDTE 672,48286,4.0,18,0,0,0,0,0,0,0,0,0,0
11495,Fall 2017,Graduate Division,SWRK 687,33007,3.0,12,0,0,0,0,0,0,0,0,0,0
11496,Fall 2017,Graduate Division,BIOL 611,43591,3.0,16,0,0,0,0,0,0,0,0,0,0
11497,Fall 2017,Graduate Division,EDTE 673,52590,3.0,13,0,0,0,0,0,0,0,0,0,0
11498,Fall 2017,Graduate Division,CMSD 630,39717,3.0,23,0,0,0,0,0,0,0,0,0,0
11499,Fall 2017,Graduate Division,EDCI 611,34985,3.0,12,0,0,0,0,0,0,0,0,0,0
11500,Fall 2017,Graduate Division,EDCI 675,26396,3.0,10,0,0,0,0,0,0,0,0,0,0
11501,Fall 2017,Graduate Division,SWRK 642,37477,3.0,10,0,0,0,0,0,0,0,0,0,0
11502,Fall 2017,Graduate Division,SWRK 642,37837,3.0,22,0,0,0,0,0,0,0,0,0,0
11503,Fall 2017,Graduate Division,BIOL 600,45931,3.0,10,0,0,0,0,0,0,0,0,0,0
11504,Fall 2017,Graduate Division,SPED 692,40286,3.0,14,0,0,0,0,0,0,0,0,0,0
11505,Fall 2017,Graduate Division,SPED 692,52446,3.0,17,0,0,0,0,0,0,0,0,0,0
11506,Fall 2017,Graduate Division,ANTH 600,38748,3.0,11,0,0,0,0,0,0,0,0,0,0
11507,Fall 2017,Graduate Division,POLS 652,43523,3.0,22,0,0,0,0,0,0,0,0,0,0
11508,Fall 2017,Graduate Division,POLS 660A,27910,3.0,16,0,0,0,0,0,0,0,0,0,0
11509,Fall 2017,Graduate Division,SPED 637,37968,3.0,23,0,0,0,0,0,0,0,0,0,0
11510,Fall 2017,Graduate Division,SWRK 678,30151,3.0,19,0,0,0,0,0,0,0,0,0,0
11511,Fall 2017,Graduate Division,MGMT 635,42425,3.0,11,0,0,0,0,0,0,0,0,0,0
11512,Fall 2017,Graduate Division,SWRK 656,43961,3.0,13,0,0,0,0,0,0,0,0,0,0
11513,Fall 2017,Graduate Division,SWRK 681,37449,3.0,27,0,0,0,0,0,0,0,0,0,0
11514,Fall 2017,Graduate Division,CMSD 640,27434,3.0,11,0,0,0,0,0,0,0,0,0,0
11515,Fall 2017,Graduate Division,EDTE 660B,37954,1.0,25,0,0,0,0,0,0,0,0,0,0
11516,Fall 2017,Graduate Division,SPED 680,52446,3.0,18,0,0,0,0,0,0,0,0,0,0
11517,Fall 2017,Graduate Division,EDMA 600,34940,3.0,20,0,0,0,0,0,0,0,0,0,0
11518,Fall 2017,Graduate Division,PSYC 677,42545,3.0,17,0,0,0,0,0,0,0,0,0,0
11519,Fall 2017,Graduate Division,CMSD 674,42837,1.0,23,0,0,0,0,0,0,0,0,0,0
11520,Fall 2017,Graduate Division,PSYC 641,31401,3.0,10,0,0,0,0,0,0,0,0,0,0
11521,Fall 2017,Graduate Division,EDAD 632,37236,6.0,20,0,0,0,0,0,0,0,0,0,0
11522,Fall 2017,Graduate Division,ACCT 615,45200,3.0,0,0,11,0,0,0,0,0,0,0,0
11523,Fall 2017,Graduate Division,ENGL 661,45648,3.0,10,0,0,0,0,0,0,0,0,0,0
11524,Fall 2017,Graduate Division,POLS 601,28307,3.0,13,0,0,0,0,0,0,0,0,0,0
11525,Fall 2017,Graduate Division,POLS 662,39646,3.0,14,0,0,0,0,0,0,0,0,0,0
11526,Fall 2017,Lower Division,ABUS 101,35452,3.0,0,0,0,0,0,15,0,0,0,0,0
11527,Fall 2017,Lower Division,ABUS 101,39361,3.0,0,0,23,0,0,0,10,0,11,0,0
11528,Fall 2017,Lower Division,ACCT 201,28932,3.0,21,0,24,0,0,57,0,0,18,0,21
11529,Fall 2017,Lower Division,ACCT 201,36651,3.0,14,0,42,0,15,50,16,0,14,0,39
11530,Fall 2017,Lower Division,ACCT 201,46202,3.0,0,0,11,0,0,12,0,0,0,0,0
11531,Fall 2017,Lower Division,ACCT 202,26669,3.0,0,0,11,0,0,18,0,12,0,0,0
11532,Fall 2017,Lower Division,ACCT 202,36651,3.0,26,0,18,0,0,19,0,0,0,0,34
11533,Fall 2017,Lower Division,ACCT 202,45651,3.0,0,0,0,0,0,12,0,0,0,0,0
11534,Fall 2017,Lower Division,AFAM 170,44167,3.0,0,0,0,20,0,0,0,0,0,0,0
11535,Fall 2017,Lower Division,ANSC 101,41731,2.0,28,18,21,15,10,10,0,0,0,0,0
11536,Fall 2017,Lower Division,ANSC 110,33928,1.0,22,0,0,0,0,0,0,0,0,0,0
11537,Fall 2017,Lower Division,ANSC 230,39154,2.0,16,12,0,0,0,0,0,0,0,0,0
