Term,Course Division,Course,Section,Units,Random Faculty ID,Total Enrolled,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
Spring 2017,Upper Division,SOC_418__01,,,,,0,3,5,13,12,6,10,5,2,1,1,2
Spring 2017,Upper Division,SOC_444__01,,,,,2,3,6,8,9,4,11,7,1,4,1,4
Spring 2017,Lower Division,ACCT211__01,,,,,8,5,10,6,7,7,4,2,2,0,0,8
Spring 2017,Lower Division,ACCT211__02,,,,,11,9,8,6,6,6,6,1,0,1,0,5
Spring 2017,Lower Division,ECON200__03,,,,,19,6,4,5,6,4,6,2,0,1,2,4
Spring 2017,Lower Division,GEOG100__01,,,,,14,13,12,2,3,2,1,2,0,1,0,9
Spring 2017,Lower Division,PHYS222__01,,,,,5,2,4,7,4,5,10,6,3,3,3,7
Spring 2017,Lower Division,PSYC115__02,,,,,31,9,5,4,2,2,2,2,0,0,0,2
Spring 2017,Lower Division,PSYC115__03,,,,,12,6,13,8,5,0,3,1,1,0,2,8
Spring 2017,Lower Division,PSYC115__04,,,,,3,4,10,12,12,5,1,5,2,1,2,2
Spring 2017,Lower Division,PSYC115__06,,,,,21,11,9,6,3,2,0,0,2,2,1,2
Spring 2017,Upper Division,CJUS451__01,,,,,6,14,6,9,8,4,4,0,5,0,1,2
Spring 2017,Upper Division,CSE_461__01,,,,,25,7,14,9,0,2,2,0,0,0,0,0
Spring 2017,Upper Division,FIN_313__03,,,,,17,6,7,6,5,1,8,0,0,2,2,5
Spring 2017,Upper Division,FIN_313__04,,,,,17,5,10,2,4,3,8,1,3,2,0,4
Spring 2017,Upper Division,FIN_314__02,,,,,16,9,9,9,4,3,5,0,0,1,0,3
Spring 2017,Upper Division,FIN_314__05,,,,,22,3,4,13,0,3,9,0,1,0,0,4
Spring 2017,Upper Division,MKTG305__01,,,,,2,0,10,22,8,2,9,1,2,2,0,1
Spring 2017,Upper Division,PSYC384__01,,,,,6,4,9,5,12,2,8,5,3,2,2,1
Spring 2017,Lower Division,ACCT211__04,,,,,18,5,4,2,5,7,1,4,0,2,1,9
Spring 2017,Lower Division,CSE_125__01,,,,,38,1,1,4,4,0,1,1,0,0,1,7
Spring 2017,Lower Division,GEOG100__03,,,,,3,4,2,5,12,3,9,4,2,1,5,8
Spring 2017,Lower Division,PSYC105__03,,,,,2,3,6,6,7,9,7,4,7,3,2,2
Spring 2017,Lower Division,PSYC105__04,,,,,1,8,4,5,4,5,5,3,4,4,2,13
Spring 2017,Lower Division,PSYC105__05,,,,,3,1,2,10,3,3,5,7,4,2,1,17
Spring 2017,Upper Division,PA__315__70,,,,,7,10,9,11,7,3,5,1,1,0,0,4
Spring 2017,Lower Division,ACCT212__03,,,,,13,9,4,1,1,8,2,2,2,6,0,9
Spring 2017,Lower Division,CJUS101__01,,,,,6,2,4,6,10,4,8,2,3,3,3,6
Spring 2017,Lower Division,CSE_201__01,,,,,2,5,4,6,6,4,4,4,1,7,0,14
Spring 2017,Lower Division,KINE120G_01,,,,,20,10,5,12,4,4,2,0,0,0,0,0
Spring 2017,Upper Division,CJUS431__01,,,,,1,7,10,14,8,4,6,4,1,2,0,0
Spring 2017,Upper Division,MGMT302__02,,,,,5,3,15,9,5,12,7,0,0,0,0,1
Spring 2017,Upper Division,MKTG305__71,,,,,23,6,8,1,0,5,6,0,1,1,0,6
Spring 2017,Upper Division,SOC_436__01,,,,,17,5,6,18,3,1,4,2,0,1,0,0
Spring 2017,Lower Division,ADMN210__02,,,,,4,2,1,8,2,1,14,0,0,9,0,15
Spring 2017,Lower Division,FIN_101__02,,,,,12,9,4,13,4,2,3,2,1,1,3,2
Spring 2017,Upper Division,CJUS441__01,,,,,0,5,11,4,15,11,2,3,3,0,0,2
Spring 2017,Upper Division,CJUS598__01,,,,,44,12,0,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,SCM_304__03,,,,,18,5,1,16,4,1,5,0,0,2,2,2
Spring 2017,Lower Division,ACCT212__02,,,,,33,0,4,2,3,1,2,0,0,1,1,8
Spring 2017,Lower Division,FIN_101__05,,,,,5,3,3,6,4,5,16,3,3,2,0,5
Spring 2017,Lower Division,HSCI271__01,,,,,14,16,9,6,5,2,1,1,0,1,0,0
Spring 2017,Upper Division,CHEM345__01,,,,,14,2,7,11,10,6,0,2,0,0,0,3
Spring 2017,Upper Division,CSE_460__03,,,,,6,10,11,4,6,5,5,1,2,0,0,5
Spring 2017,Upper Division,HSCI423__02,,,,,35,11,5,2,0,2,0,0,0,0,0,0
Spring 2017,Upper Division,MKTG305__02,,,,,9,10,13,9,6,4,2,0,0,0,0,2
Spring 2017,Lower Division,ADMN210__01,,,,,10,1,3,8,1,0,15,0,0,4,0,12
Spring 2017,Lower Division,ES__100__01,,,,,0,1,1,11,18,4,3,2,1,0,0,13
Spring 2017,Lower Division,PSYC115__01,,,,,18,9,5,8,5,1,2,1,2,0,1,2
Spring 2017,Lower Division,PSYC115__07,,,,,8,8,6,12,10,2,1,3,2,0,0,2
Spring 2017,Lower Division,PSYC115__08,,,,,37,7,4,1,1,0,2,0,0,1,0,1
Spring 2017,Lower Division,PSYC240__01,,,,,16,12,5,14,3,1,2,0,0,0,0,1
Spring 2017,Upper Division,CJUS370__01,,,,,4,14,12,11,6,4,1,2,0,0,0,0
Spring 2017,Upper Division,CJUS466__01,,,,,1,1,2,7,9,4,11,3,3,6,2,5
Spring 2017,Upper Division,HSCI455__01,,,,,18,15,11,7,3,0,0,0,0,0,0,0
Spring 2017,Upper Division,PSYC390__02,,,,,4,5,7,14,6,4,4,2,2,4,1,1
Spring 2017,Upper Division,PSYC538__01,,,,,2,5,7,6,7,12,5,4,3,1,0,2
Spring 2017,Upper Division,SCM_304__01,,,,,20,7,4,6,2,7,4,0,0,2,0,2
Spring 2017,Lower Division,FIN_101__06,,,,,27,4,5,3,0,1,2,2,2,1,0,6
Spring 2017,Lower Division,KINE121A_01,,,,,50,3,0,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,CJUS330__01,,,,,2,5,10,14,8,5,4,3,1,1,0,0
Spring 2017,Upper Division,CSE_488__01,,,,,31,20,0,0,0,0,0,0,0,0,0,2
Spring 2017,Upper Division,PSYC363__80,,,,,3,0,1,4,4,4,6,9,8,8,3,3
Spring 2017,Lower Division,ACCT211__06,,,,,14,6,9,7,6,2,4,0,1,1,1,1
Spring 2017,Upper Division,ANTH330__01,,,,,18,6,16,9,3,0,0,0,0,0,0,0
Spring 2017,Upper Division,CJUS462__01,,,,,18,8,8,7,6,1,1,2,1,0,0,0
Spring 2017,Lower Division,ACCT211__05,,,,,6,7,1,4,2,2,0,1,2,14,1,11
Spring 2017,Lower Division,ECON200__01,,,,,6,2,2,3,2,4,4,4,2,8,7,7
Spring 2017,Lower Division,PSYC210__01,,,,,5,4,5,5,3,3,5,5,4,2,2,8
Spring 2017,Upper Division,ANTH333__01,,,,,5,5,8,4,9,3,6,5,2,2,0,2
Spring 2017,Lower Division,HD__245__01,,,,,16,6,8,3,3,3,2,1,0,1,0,7
Spring 2017,Lower Division,HD__246__01,,,,,8,9,4,4,6,4,1,1,2,1,2,8
Spring 2017,Upper Division,ANTH325__01,,,,,7,3,2,11,4,3,5,7,2,1,1,4
Spring 2017,Upper Division,CJUS340__02,,,,,0,0,0,2,5,21,3,5,10,0,1,3
Spring 2017,Upper Division,HUM_340__02,,,,,4,10,7,8,10,2,2,0,1,0,1,5
Spring 2017,Upper Division,KINE481__01,,,,,3,3,7,8,4,3,8,6,3,3,1,1
Spring 2017,Upper Division,KINE483__01,,,,,3,2,6,11,14,6,4,2,1,0,0,1
Spring 2017,Upper Division,KINE493__05,,,,,39,0,1,5,1,3,0,0,0,0,0,1
Spring 2017,Upper Division,MKTG436__02,,,,,18,13,5,8,0,0,3,1,0,0,0,2
Spring 2017,Lower Division,ECON200__04,,,,,5,1,0,3,3,5,17,0,0,1,0,14
Spring 2017,Lower Division,FIN_101__04,,,,,3,7,11,9,6,3,3,1,0,2,0,4
Spring 2017,Lower Division,KINE205__80,,,,,14,9,5,3,5,4,3,3,0,1,1,1
Spring 2017,Upper Division,CJUS330__02,,,,,40,1,2,5,0,0,1,0,0,0,0,0
Spring 2017,Upper Division,CSE_570__01,,,,,46,2,1,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,HSCI370__01,,,,,22,15,5,4,3,0,0,0,0,0,0,0
Spring 2017,Upper Division,HSCI451__01,,,,,13,18,4,5,3,2,3,0,0,0,0,1
Spring 2017,Upper Division,HSCI468__01,,,,,23,14,5,3,2,1,1,0,0,0,0,0
Spring 2017,Lower Division,COMM180__01,,,,,6,12,8,15,6,0,0,0,0,0,0,1
Spring 2017,Lower Division,COMM180__02,,,,,8,13,4,17,3,0,2,1,0,0,0,0
Spring 2017,Lower Division,COMM180__03,,,,,9,9,9,10,4,2,3,0,1,0,0,1
Spring 2017,Lower Division,COMM180__04,,,,,13,12,6,11,3,1,1,0,0,1,0,0
Spring 2017,Lower Division,COMM180__05,,,,,4,2,10,18,6,2,4,0,2,0,0,0
Spring 2017,Lower Division,GEOG100__02,,,,,4,2,2,8,4,3,17,0,0,5,3,0
Spring 2017,Lower Division,HSCI100__01,,,,,8,6,10,2,13,3,1,3,0,0,0,2
Spring 2017,Upper Division,CHEM323__01,,,,,14,2,5,9,4,5,8,1,0,0,0,0
Spring 2017,Upper Division,ECON311__80,,,,,9,9,6,13,3,2,1,2,0,0,0,3
Spring 2017,Upper Division,HSCI493__02,,,,,45,1,0,0,0,0,2,0,0,0,0,0
Spring 2017,Upper Division,IST_309__03,,,,,9,3,8,6,5,6,10,1,0,0,0,0
Spring 2017,Upper Division,KINE493__03,,,,,35,5,6,0,1,1,0,0,0,0,0,0
Spring 2017,Upper Division,NURS340__02,,,,,47,1,0,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,NURS400__01,,,,,44,3,1,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,PSYC355__80,,,,,0,2,1,5,13,5,9,3,2,4,1,3
Spring 2017,Upper Division,SOC_355__01,,,,,3,5,3,4,13,6,5,2,2,3,1,1
Spring 2017,Lower Division,ARAB290__70,,,,,7,11,6,11,1,4,1,1,2,0,0,3
Spring 2017,Lower Division,JAPN290__70,,,,,18,3,4,2,8,1,1,0,0,2,0,8
Spring 2017,Lower Division,MILS100__01,,,,,47,0,0,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,CJUS311__03,,,,,26,13,5,1,1,0,0,1,0,0,0,0
Spring 2017,Upper Division,CJUS320__03,,,,,2,0,1,2,4,1,6,18,1,2,5,5
Spring 2017,Upper Division,FIN_314__03,,,,,1,4,0,8,5,8,17,0,0,0,0,4
Spring 2017,Upper Division,MATH553__01,,,,,2,3,4,4,9,3,4,1,2,2,1,12
Spring 2017,Upper Division,NURS404__01,,,,,11,9,7,12,4,2,2,0,0,0,0,0
Spring 2017,Upper Division,SOC_309__07,,,,,19,11,11,4,2,0,0,0,0,0,0,0
Spring 2017,Lower Division,FIN_101__03,,,,,9,8,7,6,4,2,5,4,0,1,0,0
Spring 2017,Lower Division,HIST140__80,,,,,5,0,5,3,11,10,3,0,0,3,0,6
Spring 2017,Lower Division,PSYC210__07,,,,,9,5,1,7,6,4,5,2,1,1,2,3
Spring 2017,Lower Division,SPAN290__01,,,,,33,6,2,2,1,0,0,1,0,1,0,0
Spring 2017,Lower Division,TA__160__02,,,,,9,9,4,6,6,3,3,4,0,0,0,2
Spring 2017,Upper Division,BIOL400__01,,,,,11,1,4,13,5,6,2,1,0,3,0,0
Spring 2017,Upper Division,FIN_314__04,,,,,12,1,3,14,2,5,4,0,1,3,0,1
Spring 2017,Upper Division,HSCI540__70,,,,,11,4,6,13,4,0,4,0,1,0,0,3
Spring 2017,Upper Division,IST_309__01,,,,,16,4,4,8,7,6,1,0,0,0,0,0
Spring 2017,Upper Division,MKTG496__87,,,,,24,11,8,1,1,1,0,0,0,0,0,0
Spring 2017,Upper Division,SSCI320__01,,,,,8,3,5,7,6,2,5,0,4,3,3,0
Spring 2017,Lower Division,IST_101__87,,,,,4,7,9,8,3,2,4,3,0,1,0,4
Spring 2017,Lower Division,NURS200__01,,,,,1,8,9,18,7,2,0,0,0,0,0,0
Spring 2017,Lower Division,PSYC210__04,,,,,1,5,2,9,5,5,8,3,1,1,0,5
Spring 2017,Lower Division,SPAN290__02,,,,,2,2,3,10,9,4,5,1,1,2,1,5
Spring 2017,Lower Division,SPAN290__70,,,,,4,2,6,5,7,2,7,4,0,0,1,7
Spring 2017,Lower Division,TA__160__04,,,,,29,3,4,4,0,1,1,0,0,0,0,3
Spring 2017,Lower Division,TA__160__08,,,,,10,8,5,6,3,4,0,2,1,1,1,4
Spring 2017,Upper Division,BIOL450__01,,,,,1,0,0,23,0,0,14,0,0,7,0,0
Spring 2017,Upper Division,CJUS340__01,,,,,1,0,0,2,5,5,11,2,6,9,2,2
Spring 2017,Upper Division,HSCI342__01,,,,,12,16,6,5,2,3,0,0,0,0,0,1
Spring 2017,Upper Division,HSCI345__01,,,,,5,6,7,7,7,6,3,0,2,1,0,1
Spring 2017,Upper Division,IST_309__07,,,,,9,5,6,10,7,4,3,1,0,0,0,0
Spring 2017,Upper Division,NURS406__01,,,,,4,16,13,11,1,0,0,0,0,0,0,0
Spring 2017,Lower Division,ADMN210__87,,,,,8,5,3,7,2,2,6,0,0,1,0,10
Spring 2017,Lower Division,CSE_202__01,,,,,3,5,1,1,5,1,1,5,3,1,0,18
Spring 2017,Lower Division,ECON202__04,,,,,6,12,6,9,5,1,0,0,0,0,0,5
Spring 2017,Lower Division,GEOL101__20,,,,,7,3,5,5,6,1,5,2,3,0,4,3
Spring 2017,Lower Division,HD__292__01,,,,,39,0,0,4,0,0,1,0,0,0,0,0
Spring 2017,Lower Division,SW__200__01,,,,,2,18,14,5,2,2,1,0,0,0,0,0
Spring 2017,Lower Division,TA__160__05,,,,,25,8,5,3,0,1,1,0,0,1,0,0
Spring 2017,Lower Division,TA__160__07,,,,,18,12,3,3,5,1,0,1,0,0,0,1
Spring 2017,Upper Division,CHEM475__01,,,,,4,2,5,5,5,14,3,4,1,1,0,0
Spring 2017,Upper Division,CSE_455__04,,,,,15,20,6,2,0,0,0,0,0,0,0,1
Spring 2017,Upper Division,NURS332__01,,,,,43,1,0,0,0,0,0,0,0,0,0,0
Spring 2017,Lower Division,FREN290__70,,,,,16,5,6,5,3,2,0,1,0,0,1,4
Spring 2017,Lower Division,HD__272__01,,,,,10,18,8,5,0,0,1,0,0,0,0,1
Spring 2017,Lower Division,MATH192__01,,,,,15,0,0,8,0,1,11,0,0,4,0,4
Spring 2017,Lower Division,NURS220__01,,,,,4,3,6,10,11,5,1,3,0,0,0,0
Spring 2017,Lower Division,ACCT212__01,,,,,13,2,3,3,3,2,5,2,0,1,0,8
Spring 2017,Lower Division,ECON202__02,,,,,16,3,5,11,2,1,3,0,0,0,0,1
Spring 2017,Upper Division,HSCI480__01,,,,,33,7,0,2,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,IST_309__04,,,,,0,6,4,4,10,6,6,2,0,1,1,2
Spring 2017,Upper Division,KINE310__02,,,,,27,4,1,3,6,1,0,0,0,0,0,0
Spring 2017,Upper Division,KINE480__01,,,,,0,4,0,7,8,4,6,4,1,6,1,1
Spring 2017,Upper Division,MGMT490__80,,,,,25,3,3,8,0,0,3,0,0,0,0,0
Spring 2017,Upper Division,SOC_309__01,,,,,10,11,4,12,0,3,0,0,0,1,0,1
Spring 2017,Lower Division,ADMN210__04,,,,,2,1,1,6,1,1,26,0,0,2,0,1
Spring 2017,Lower Division,FREN290__01,,,,,7,2,1,10,7,4,4,1,1,0,0,4
Spring 2017,Lower Division,KINE114F_04,,,,,24,9,5,0,1,1,1,0,0,0,0,0
Spring 2017,Lower Division,KINE190__01,,,,,41,0,0,0,0,0,0,0,0,0,0,0
Spring 2017,Lower Division,MATH262__01,,,,,5,2,1,5,2,2,7,0,0,6,1,10
Spring 2017,Lower Division,SPAN290__87,,,,,12,3,4,6,5,0,7,1,0,1,0,2
Spring 2017,Lower Division,TA__160__06,,,,,20,1,3,0,2,1,0,1,2,0,0,11
Spring 2017,Upper Division,CHEM438A_01,,,,,4,3,3,1,8,9,2,6,3,0,2,0
Spring 2017,Upper Division,CHEM590B_01,,,,,36,1,3,1,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,CJUS451__80,,,,,1,0,2,1,7,3,10,5,4,4,1,3
Spring 2017,Upper Division,COMM311__01,,,,,3,9,14,10,2,1,1,1,0,0,0,0
Spring 2017,Upper Division,COMM320__02,,,,,9,9,14,2,2,3,0,0,0,1,0,1
Spring 2017,Upper Division,ENG_311__02,,,,,8,6,6,6,3,3,2,3,1,1,2,0
Spring 2017,Upper Division,FIN_432__01,,,,,32,5,2,2,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,IST_309__05,,,,,0,8,10,10,7,1,2,2,0,0,0,1
Spring 2017,Upper Division,MGMT490__05,,,,,6,6,8,10,3,5,3,0,0,0,0,0
Spring 2017,Upper Division,MKTG430__01,,,,,3,5,19,11,2,1,0,0,0,0,0,0
Spring 2017,Upper Division,MUS_381__01,,,,,33,7,0,1,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,NURS382__01,,,,,2,10,13,13,0,1,2,0,0,0,0,0
Spring 2017,Upper Division,PSCI484__01,,,,,19,9,6,3,2,2,0,0,0,0,0,0
Spring 2017,Upper Division,PSYC385__80,,,,,5,8,1,8,3,4,6,4,0,0,0,2
Spring 2017,Lower Division,COMM180__80,,,,,0,0,1,8,10,15,4,1,0,0,0,1
Spring 2017,Lower Division,TA__212__02,,,,,17,11,5,6,0,1,0,0,0,0,0,0
Spring 2017,Upper Division,ART_359__70,,,,,29,0,0,9,0,0,0,0,0,0,0,2
Spring 2017,Upper Division,ENG_311__03,,,,,6,5,2,9,5,3,9,1,0,0,0,0
Spring 2017,Upper Division,ENG_320__02,,,,,26,2,4,6,0,0,1,0,0,0,0,1
Spring 2017,Upper Division,ENG_327__01,,,,,14,13,5,5,2,0,0,0,0,0,0,1
Spring 2017,Upper Division,HSCI352__01,,,,,10,7,6,11,2,3,0,0,0,1,0,0
Spring 2017,Upper Division,HSCI471__01,,,,,33,5,1,1,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,HSCI493__01,,,,,39,0,0,1,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,IST_309__06,,,,,6,2,1,0,6,6,15,0,0,0,0,4
Spring 2017,Upper Division,KINE325__02,,,,,36,0,1,2,0,1,0,0,0,0,0,0
Spring 2017,Upper Division,SOC_309__04,,,,,8,12,9,3,1,2,0,2,0,2,0,1
Spring 2017,Lower Division,TA__160__01,,,,,15,4,2,2,3,1,3,1,1,1,0,6
Spring 2017,Lower Division,TA__212__01,,,,,13,8,8,7,3,0,0,0,0,0,0,0
Spring 2017,Upper Division,ACCT426__01,,,,,3,3,1,6,10,4,6,1,0,1,0,4
Spring 2017,Upper Division,BIOL331__01,,,,,3,7,7,16,4,2,0,0,0,0,0,0
Spring 2017,Upper Division,COMM304__01,,,,,10,13,5,3,3,0,0,1,3,0,0,1
Spring 2017,Upper Division,COMM311__02,,,,,4,5,5,7,9,4,1,3,0,0,0,1
Spring 2017,Upper Division,COMM341__02,,,,,7,4,1,15,6,3,1,0,0,2,0,0
Spring 2017,Upper Division,COMM378__01,,,,,11,7,7,7,2,3,1,0,0,0,1,0
Spring 2017,Upper Division,COMM401__03,,,,,14,15,3,3,1,1,2,0,0,0,0,0
Spring 2017,Upper Division,COMM441__01,,,,,17,6,3,6,2,1,3,1,0,0,0,0
Spring 2017,Upper Division,HUM_397__70,,,,,39,0,0,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,IST_309__02,,,,,0,13,8,6,7,2,1,2,0,0,0,0
Spring 2017,Upper Division,MGMT490__07,,,,,10,12,7,6,2,2,0,0,0,0,0,0
Spring 2017,Upper Division,PSYC351__80,,,,,1,3,1,2,4,3,11,10,1,1,1,1
Spring 2017,Lower Division,KINE160__01,,,,,38,0,0,0,0,0,0,0,0,0,0,0
Spring 2017,Lower Division,MATH192__02,,,,,29,2,0,1,0,2,3,0,0,0,0,1
Spring 2017,Lower Division,MATH192__03,,,,,7,2,7,8,0,4,4,0,0,3,2,1
Spring 2017,Lower Division,MATH272__01,,,,,4,0,4,4,0,4,4,2,4,2,2,8
Spring 2017,Upper Division,ECON500__01,,,,,1,5,3,4,5,7,10,2,1,0,0,0
Spring 2017,Upper Division,ENG_311__01,,,,,10,4,3,5,3,1,3,3,0,2,1,3
Spring 2017,Upper Division,HSCI384__01,,,,,1,6,2,9,18,2,0,0,0,0,0,0
Spring 2017,Upper Division,KINE360__01,,,,,4,3,5,7,7,5,1,3,1,0,0,2
Spring 2017,Upper Division,KINE410__01,,,,,38,0,0,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,MGMT490__08,,,,,9,10,8,2,6,1,1,0,0,0,0,1
Spring 2017,Upper Division,PSCI308__01,,,,,18,3,4,1,2,1,3,3,1,1,1,0
Spring 2017,Lower Division,ENG_213__01,,,,,5,7,10,6,6,1,0,1,0,1,0,0
Spring 2017,Lower Division,MATH180__01,,,,,11,1,6,6,6,2,1,3,0,1,0,0
Spring 2017,Pre-Baccalaureate,MATH090__05,,,,,4,3,2,3,5,4,16,0,0,0,0,0
Spring 2017,Upper Division,ACCT374__02,,,,,17,4,3,6,1,0,5,0,0,0,0,1
Spring 2017,Upper Division,ART_443__01,,,,,23,6,3,3,0,0,0,0,0,0,0,2
Spring 2017,Upper Division,CJUS311__01,,,,,4,3,3,6,8,4,1,2,3,0,0,3
Spring 2017,Upper Division,COMM304__03,,,,,3,6,6,7,4,3,2,3,1,1,1,0
Spring 2017,Upper Division,HSCI315__01,,,,,32,1,1,0,0,1,0,0,1,0,0,1
Spring 2017,Upper Division,HUM_397__01,,,,,31,2,4,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,KINE382__02,,,,,3,4,7,8,5,2,4,1,1,1,1,0
Spring 2017,Upper Division,MKTG420__70,,,,,19,5,3,4,2,1,1,1,0,1,0,0
Spring 2017,Upper Division,PSYC329__80,,,,,0,4,1,5,4,6,4,6,2,4,1,0
Spring 2017,Lower Division,MATH110__04,,,,,12,1,0,5,2,8,8,0,0,0,0,0
Spring 2017,Lower Division,MATH212__07,,,,,6,5,6,7,4,1,3,0,1,1,0,2
Spring 2017,Lower Division,PHIL191__05,,,,,6,7,6,1,5,4,4,1,2,0,0,0
Spring 2017,Pre-Baccalaureate,MATH090__02,,,,,10,1,2,3,6,4,10,0,0,0,0,0
Spring 2017,Upper Division,ACCT373__01,,,,,7,4,1,7,5,2,7,2,0,0,0,1
Spring 2017,Upper Division,CHEM500__01,,,,,7,6,5,4,4,3,1,3,1,0,1,1
Spring 2017,Upper Division,COMM304__02,,,,,1,6,7,1,7,4,5,2,1,1,1,0
Spring 2017,Upper Division,COMM401__01,,,,,4,5,11,6,2,4,1,0,0,0,0,3
Spring 2017,Upper Division,ENG_326__70,,,,,8,0,2,5,2,5,1,2,4,0,1,6
Spring 2017,Upper Division,HUM_597__72,,,,,33,2,0,0,1,0,0,0,0,0,0,0
Spring 2017,Upper Division,KINE305__01,,,,,29,0,3,3,0,1,0,0,0,0,0,0
Spring 2017,Upper Division,KINE310__01,,,,,30,2,1,2,1,0,0,0,0,0,0,0
Spring 2017,Upper Division,KINE323__01,,,,,36,0,0,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,KINE323__02,,,,,17,9,5,2,2,1,0,0,0,0,0,0
Spring 2017,Upper Division,KINE324__02,,,,,36,0,0,0,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,KINE325__01,,,,,23,0,5,5,0,2,1,0,0,0,0,0
Spring 2017,Upper Division,KINE370__02,,,,,3,4,17,4,3,1,0,3,1,0,0,0
Spring 2017,Upper Division,MKTG416__01,,,,,8,5,8,7,3,0,4,1,0,0,0,0
Spring 2017,Upper Division,MUS_370__03,,,,,19,5,0,9,1,0,2,0,0,0,0,0
Spring 2017,Lower Division,KINE120F_01,,,,,34,0,0,0,1,0,0,0,0,0,0,0
Spring 2017,Lower Division,PHIL190__81,,,,,6,3,4,3,2,5,4,2,3,1,0,2
Spring 2017,Upper Division,COMM400__70,,,,,0,4,3,7,5,1,4,2,1,1,0,7
Spring 2017,Upper Division,CSE_431__01,,,,,0,3,7,12,2,5,6,0,0,0,0,0
Spring 2017,Upper Division,HSCI444__01,,,,,3,1,6,6,3,11,4,1,0,0,0,0
Spring 2017,Upper Division,HSCI445__01,,,,,10,6,10,8,1,0,0,0,0,0,0,0
Spring 2017,Upper Division,IST_309__08,,,,,6,4,16,9,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,IST_378__01,,,,,6,5,6,6,3,2,5,0,0,0,0,2
Spring 2017,Upper Division,KINE360__02,,,,,17,8,2,3,2,0,1,0,1,1,0,0
Spring 2017,Upper Division,KINE370__01,,,,,9,3,4,5,7,0,1,3,1,0,0,2
Spring 2017,Upper Division,KINE410__02,,,,,1,5,11,7,11,0,0,0,0,0,0,0
Spring 2017,Upper Division,KINE471__01,,,,,27,1,5,1,0,0,0,1,0,0,0,0
Spring 2017,Upper Division,MKTG410__01,,,,,1,5,6,13,2,2,3,2,0,0,0,1
Spring 2017,Upper Division,MKTG496__01,,,,,0,5,20,3,1,5,1,0,0,0,0,0
Spring 2017,Upper Division,TA__363__01,,,,,14,6,5,6,3,1,0,0,0,0,0,0
Spring 2017,Lower Division,IST_215__70,,,,,23,0,0,6,0,0,2,0,0,1,0,2
Spring 2017,Lower Division,KINE114E_02,,,,,28,2,2,1,0,1,0,0,0,0,0,0
Spring 2017,Lower Division,KINE114F_06,,,,,26,2,1,5,0,0,0,0,0,0,0,0
Spring 2017,Lower Division,KINE114F_10,,,,,30,0,0,3,0,0,1,0,0,0,0,0
Spring 2017,Lower Division,KINE200__02,,,,,34,0,0,0,0,0,0,0,0,0,0,0
Spring 2017,Lower Division,KINE270__04,,,,,5,4,5,9,2,3,1,3,0,2,0,0
Spring 2017,Lower Division,MATH110__06,,,,,20,0,0,10,0,0,4,0,0,0,0,0
Spring 2017,Lower Division,PHIL190__07,,,,,2,6,8,5,2,3,3,3,0,1,0,1
Spring 2017,Lower Division,PSCI204__01,,,,,1,2,2,17,3,2,3,0,3,1,0,0
Spring 2017,Upper Division,ACCT347__02,,,,,1,2,0,8,7,2,11,1,1,0,1,0
Spring 2017,Upper Division,ACCT373__02,,,,,11,2,2,7,3,1,6,0,1,0,0,1
Spring 2017,Upper Division,ACCT374__03,,,,,14,13,2,1,2,1,1,0,0,0,0,0
Spring 2017,Upper Division,COMM306__02,,,,,7,3,5,7,5,2,3,1,0,1,0,0
Spring 2017,Upper Division,FIN_430__01,,,,,6,6,2,5,6,3,4,0,0,0,1,1
Spring 2017,Upper Division,HSCI352__02,,,,,20,9,2,1,1,0,1,0,0,0,0,0
Spring 2017,Upper Division,HSCI460__01,,,,,25,3,4,2,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,HUM_597__01,,,,,27,0,6,1,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,KINE324__01,,,,,18,8,4,1,0,2,0,1,0,0,0,0
Spring 2017,Upper Division,KINE352__02,,,,,25,6,1,1,0,0,0,0,0,0,0,1
Spring 2017,Upper Division,KINE471__02,,,,,21,0,7,5,0,1,0,0,0,0,0,0
Spring 2017,Upper Division,KINE490__01,,,,,32,1,0,1,0,0,0,0,0,0,0,0
Spring 2017,Upper Division,MATH372__01,,,,,6,2,3,6,0,3,3,2,1,1,0,7
Spring 2017,Upper Division,MGMT350__05,,,,,20,10,1,2,0,1,0,0,0,0,0,0
